,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,studlab.orig,year,rob,age,effect_size1,outcome1_direction,treat.orig1,treat.orig2,n12,r11,r12,No_randomised11,No_randomised12,No_randomised21,No_randomised22,Responders21,Responders22
125,McPartlin1998,paroxetine,venlafaxine,-0.2459424663,0.22693762,117,178,130,183,0.0,0,McPartlin1998,2023,1,50,OR,harmful,paroxetine,venlafaxine,183,117,130,178,183,178,183,117,130
126,MDF/29060/III/070/88/MC,paroxetine,clomipramine,1.1939224685,0.533238628,22,32,12,30,0.0,0,MDF/29060/III/070/88/MC,2023,1,50,OR,harmful,paroxetine,clomipramine,30,22,12,32,30,32,30,22,12
127,Mehtonen2000,sertraline,venlafaxine,-0.3541388979,0.3398794053,41,72,49,75,0.0,0,Mehtonen2000,2023,1,50,OR,harmful,sertraline,venlafaxine,75,41,49,72,75,72,75,41,49
128,Miura2000,paroxetine,amitriptyline,-0.2816197778,0.2695144353,42,109,54,119,0.0,0,Miura2000,2023,1,50,OR,harmful,paroxetine,amitriptyline,119,42,54,109,119,109,119,42,54
129,Moises1981,amitriptyline,trazodone,1.0986122887,0.6454972244,12,22,6,21,0.0,0,Moises1981,2023,1,50,OR,harmful,amitriptyline,trazodone,21,12,6,22,21,22,21,12,6
130,"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",paroxetine,amitriptyline,-0.2554935123,0.3287082773,43,78,46,75,0.0,0,"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",2023,1,50,OR,harmful,paroxetine,amitriptyline,75,43,46,78,75,78,75,43,46
131,Moller1998 (Hegerl1997),amitriptyline,sertraline,0.4514022033,0.3198424439,40,79,32,81,0.0,0,Moller1998 (Hegerl1997),2023,1,50,OR,harmful,amitriptyline,sertraline,81,40,32,79,81,79,81,40,32
132,Moller2000,sertraline,amitriptyline,-0.5349496007,0.2606624064,51,116,71,124,0.0,0,Moller2000,2023,1,50,OR,harmful,sertraline,amitriptyline,124,51,71,116,124,116,124,51,71
133,Montgomery2004a (Study 99067),escitalopram,venlafaxine,-0.0896121587,0.2784251131,113,148,113,145,0.0,0,Montgomery2004a (Study 99067),2023,1,50,OR,harmful,escitalopram,venlafaxine,145,113,113,148,145,148,145,113,113
134,Montgomery2004b (CL3-20098-030),agomelatine,paroxetine,-0.3637255019,0.23450814820000002,106,167,120,168,0.0,0,Montgomery2004b (CL3-20098-030),2023,1,50,OR,harmful,agomelatine,paroxetine,168,106,120,167,168,167,168,106,120
135,Moon1994,sertraline,clomipramine,0.0875110023,0.3900472326,28,51,29,55,0.0,0,Moon1994,2023,1,50,OR,harmful,sertraline,clomipramine,55,28,29,51,55,51,55,28,29
136,Moore2005,escitalopram,citalopram,0.7515215888,0.2518525458,105,142,87,152,0.0,0,Moore2005,2023,1,50,OR,harmful,escitalopram,citalopram,152,105,87,142,152,142,152,105,87
137,Mullin1996,mirtazapine,amitriptyline,-0.2060390352,0.3207398557,38,79,41,77,0.0,0,Mullin1996,2023,1,50,OR,harmful,mirtazapine,amitriptyline,77,38,41,79,77,79,77,38,41
138,Munizza2006,sertraline,trazodone,-0.5806289775,0.3933756707,37,60,46,62,0.0,0,Munizza2006,2023,1,50,OR,harmful,sertraline,trazodone,62,37,46,60,62,60,62,37,46
139,Murasaki1998,fluvoxamine,amitriptyline,0.0352149063,0.262604791,51,113,54,122,0.0,0,Murasaki1998,2023,1,50,OR,harmful,fluvoxamine,amitriptyline,122,51,54,113,122,113,122,51,54
140,"Murasaki2010a (iQWIG22532, Schoemaker2002)",mirtazapine,fluvoxamine,-0.34347343210000003,0.2872392721,61,104,70,105,0.0,0,"Murasaki2010a (iQWIG22532, Schoemaker2002)",2023,1,50,OR,harmful,mirtazapine,fluvoxamine,105,61,70,104,105,104,105,61,70
141,"Murasaki2010b (iQWIG9902, Schoemaker2002)",mirtazapine,fluvoxamine,0.6250937173000001,0.2952692369,71,101,57,102,0.0,0,"Murasaki2010b (iQWIG9902, Schoemaker2002)",2023,1,50,OR,harmful,mirtazapine,fluvoxamine,102,71,57,101,102,101,102,71,57
142,Nemeroff1995,fluvoxamine,sertraline,0.2881760216,0.40739396580000004,27,49,23,48,0.0,0,Nemeroff1995,2023,1,50,OR,harmful,fluvoxamine,sertraline,48,27,23,49,48,49,48,27,23
143,Newhouse2000,sertraline,fluoxetine,0.1014466163,0.2889479129,85,117,84,119,0.0,0,Newhouse2000,2023,1,50,OR,harmful,sertraline,fluoxetine,119,85,84,117,119,117,119,85,84
144,Noguera1991,clomipramine,fluoxetine,-0.3418923041,0.3707688952,32,60,37,60,0.0,0,Noguera1991,2023,1,50,OR,harmful,clomipramine,fluoxetine,60,32,37,60,60,60,60,32,37
145,Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),paroxetine,fluoxetine,0.5096218921,0.3776642536,41,60,35,62,0.0,0,Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),2023,1,50,OR,harmful,paroxetine,fluoxetine,62,41,35,60,62,60,62,41,35
146,OntiverosSanchez1998 ,fluoxetine,amitriptyline,0.22314355130000002,0.6690433825000001,7,21,6,21,0.0,0,OntiverosSanchez1998 ,2023,1,50,OR,harmful,fluoxetine,amitriptyline,21,7,6,21,21,21,21,7,6
147,Ottevanger1995,fluvoxamine,clomipramine,-0.7672551527,0.7295753695,13,20,16,20,0.0,0,Ottevanger1995,2023,1,50,OR,harmful,fluvoxamine,clomipramine,20,13,16,20,20,20,20,13,16
148,Ou2010,citalopram,escitalopram,0.161477862,0.2843809118,87,120,83,120,0.0,0,Ou2010,2023,1,50,OR,harmful,citalopram,escitalopram,120,87,83,120,120,120,120,87,83
149,PAR 29060.310 (HP 81/85A),paroxetine,amitriptyline,-0.9162907319,0.9746794345,2,10,5,13,0.0,0,PAR 29060.310 (HP 81/85A),2023,1,50,OR,harmful,paroxetine,amitriptyline,13,2,5,10,13,10,13,2,5
150,PAR 29060.318 (HP/82/64A),paroxetine,amitriptyline,0.8754687374000001,0.9457507306,4,9,3,12,0.0,0,PAR 29060.318 (HP/82/64A),2023,1,50,OR,harmful,paroxetine,amitriptyline,12,4,3,9,12,9,12,4,3
151,PAR 29060/281,paroxetine,amitriptyline,-0.70032854,0.3206975889,30,82,43,80,0.0,0,PAR 29060/281,2023,1,50,OR,harmful,paroxetine,amitriptyline,80,30,43,82,80,82,80,30,43
152,PAR MDUK 032,paroxetine,amitriptyline,0.20252426410000002,0.5215590183000001,15,29,14,30,0.0,0,PAR MDUK 032,2023,1,50,OR,harmful,paroxetine,amitriptyline,30,15,14,29,30,29,30,15,14
153,Patris1996 (Study 91301 - FDA),fluoxetine,citalopram,-0.11588933800000001,0.2274308286,123,184,120,173,0.0,0,Patris1996 (Study 91301 - FDA),2023,1,50,OR,harmful,fluoxetine,citalopram,173,123,120,184,173,184,173,123,120
154,Pelicier1993 (PAR MDED/29060/III/86/1728M291),clomipramine,paroxetine,-0.4967266994,0.4654456159,25,42,29,41,0.0,0,Pelicier1993 (PAR MDED/29060/III/86/1728M291),2023,1,50,OR,harmful,clomipramine,paroxetine,41,25,29,42,41,42,41,25,29
155,Perahia2008a (HMBU) (NCT00071695),duloxetine,venlafaxine,-0.1451692912,0.22007437200000002,85,166,91,166,0.0,0,Perahia2008a (HMBU) (NCT00071695),2023,1,50,OR,harmful,duloxetine,venlafaxine,166,85,91,166,166,166,166,85,91
156,Perahia2008b (HMCQ) (NCT00067912),venlafaxine,duloxetine,0.073203404,0.1902304908,170,340,79,164,0.0,0,Perahia2008b (HMCQ) (NCT00067912),2023,1,50,OR,harmful,venlafaxine,duloxetine,164,170,79,340,164,340,164,170,79
157,Preskorn1991,fluoxetine,amitriptyline,0.6505875661,0.5544070254,12,30,8,31,0.0,0,Preskorn1991,2023,1,50,OR,harmful,fluoxetine,amitriptyline,31,12,8,30,31,30,31,12,8
158,Rapaport1996,fluvoxamine,fluoxetine,-0.0148886125,0.4067371873,30,51,29,49,0.0,0,Rapaport1996,2023,1,50,OR,harmful,fluvoxamine,fluoxetine,49,30,29,51,49,51,49,30,29
159,Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),paroxetine,clomipramine,0.055503024500000005,0.1299990974,328,513,317,506,0.0,0,Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),2023,1,50,OR,harmful,paroxetine,clomipramine,506,328,317,513,506,513,506,328,317
160,Remick1994,amitriptyline,fluvoxamine,-1.1267831656,0.7330085861000001,5,17,9,16,0.0,0,Remick1994,2023,1,50,OR,harmful,amitriptyline,fluvoxamine,16,5,9,17,16,17,16,5,9
161,Ropert1989 ,fluoxetine,clomipramine,0.6499586505,0.3390288938,42,71,31,72,0.0,0,Ropert1989 ,2023,1,50,OR,harmful,fluoxetine,clomipramine,72,42,31,71,72,71,72,42,31
162,Rossini2005,fluvoxamine,sertraline,0.6329283206,0.45946287690000004,29,40,28,48,0.0,0,Rossini2005,2023,1,50,OR,harmful,fluvoxamine,sertraline,48,29,28,40,48,40,48,29,28
163,"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",paroxetine,clomipramine,0.4480247225,0.42158927900000004,27,45,23,47,0.0,0,"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",2023,1,50,OR,harmful,paroxetine,clomipramine,47,27,23,45,47,45,47,27,23
164,Rush2001,bupropion,sertraline,0.1126965547,0.25867624840000003,74,122,73,126,0.0,0,Rush2001,2023,1,50,OR,harmful,bupropion,sertraline,126,74,73,122,126,122,126,74,73
165,Sacchetti2002 (BRL-29060/109),paroxetine,amitriptyline,0.31314867890000003,0.3822253531,22,64,18,65,0.0,0,Sacchetti2002 (BRL-29060/109),2023,1,50,OR,harmful,paroxetine,amitriptyline,65,22,18,64,65,64,65,22,18
166,Samuelian1998,venlafaxine,clomipramine,0.7156200364,0.40264278480000004,30,52,20,50,0.0,0,Samuelian1998,2023,1,50,OR,harmful,venlafaxine,clomipramine,50,30,20,52,50,52,50,30,20
167,Sauer2003,venlafaxine,amitriptyline,-0.3083013597,0.3257644072,30,79,35,77,0.0,0,Sauer2003,2023,1,50,OR,harmful,venlafaxine,amitriptyline,77,30,35,79,77,79,77,30,35
168,Schatzberg2002 (003-901),mirtazapine,paroxetine,0.3466246081,0.2521194431,72,128,60,126,0.0,0,Schatzberg2002 (003-901),2023,1,50,OR,harmful,mirtazapine,paroxetine,126,72,60,128,126,128,126,72,60
169,Schoene1993 (Geretsegger1994 MY1021/BRC),paroxetine,fluoxetine,1.0938390099,0.4784665926,19,54,8,52,0.0,0,Schoene1993 (Geretsegger1994 MY1021/BRC),2023,1,50,OR,harmful,paroxetine,fluoxetine,52,19,8,54,52,54,52,19,8
170,Schwartz2002 (iQWIG),reboxetine,venlafaxine,0.0436750635,0.311878197,45,80,48,87,0.0,0,Schwartz2002 (iQWIG),2023,1,50,OR,harmful,reboxetine,venlafaxine,87,45,48,80,87,80,87,45,48
171,Sechter1999,sertraline,fluoxetine,0.5100089639000001,0.27469106660000003,48,118,35,120,0.0,0,Sechter1999,2023,1,50,OR,harmful,sertraline,fluoxetine,120,48,35,118,120,118,120,48,35
172,Sechter2004,milnacipran,paroxetine,-0.0725125516,0.2337070091,86,149,91,153,0.0,0,Sechter2004,2023,1,50,OR,harmful,milnacipran,paroxetine,153,86,91,149,153,149,153,86,91
173,SER-CHN-1,paroxetine,amitriptyline,0.8544153282,0.3195084761,94,113,80,118,0.0,0,SER-CHN-1,2023,1,50,OR,harmful,paroxetine,amitriptyline,118,94,80,113,118,113,118,94,80
174,Shaw1986,citalopram,amitriptyline,-0.10821358460000001,0.630522004,15,24,13,20,0.0,0,Shaw1986,2023,1,50,OR,harmful,citalopram,amitriptyline,20,15,13,24,20,24,20,15,13
175,Shelton2006 (NCT00179283),venlafaxine,sertraline,0.32877989100000005,0.3227075629,49,78,45,82,0.0,0,Shelton2006 (NCT00179283),2023,1,50,OR,harmful,venlafaxine,sertraline,82,49,45,78,82,78,82,49,45
176,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",agomelatine,fluoxetine,-0.0567118049,0.1684068265,205,314,209,314,0.0,0,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",2023,1,50,OR,harmful,agomelatine,fluoxetine,314,205,209,314,314,314,314,205,209
177,Sir2005,venlafaxine,sertraline,-0.1967102942,0.338979103,56,84,56,79,0.0,0,Sir2005,2023,1,50,OR,harmful,venlafaxine,sertraline,79,56,56,84,79,84,79,56,56
178,Smeraldi1998,venlafaxine,clomipramine,0.2760070409,0.419969488,41,55,40,58,0.0,0,Smeraldi1998,2023,1,50,OR,harmful,venlafaxine,clomipramine,58,41,40,55,58,55,58,41,40
179,Smeraldi1998,venlafaxine,trazodone,0.756061006,0.4096199608,41,55,33,57,0.0,0,Smeraldi1998,2023,1,50,OR,harmful,venlafaxine,trazodone,57,41,33,55,57,55,57,41,33
180,Smeraldi1998,clomipramine,trazodone,0.48005396510000004,0.39054481500000005,40,58,33,57,0.0,0,Smeraldi1998,2023,1,50,OR,harmful,clomipramine,trazodone,57,40,33,58,57,58,57,40,33
181,Staner1995 (063),paroxetine,amitriptyline,-0.5877866649,0.6522245207,7,21,9,19,0.0,0,Staner1995 (063),2023,1,50,OR,harmful,paroxetine,amitriptyline,19,7,9,21,19,21,19,7,9
182,Studie032 (M2020/0032),reboxetine,fluoxetine,-0.23757525240000002,0.43495221910000004,21,43,23,42,0.0,0,Studie032 (M2020/0032),2023,1,50,OR,harmful,reboxetine,fluoxetine,42,21,23,43,42,43,42,21,23
183,Study 043,reboxetine,citalopram,-0.5478923242,0.21317966530000002,77,183,98,176,0.0,0,Study 043,2023,1,50,OR,harmful,reboxetine,citalopram,176,77,98,183,176,183,176,77,98
184,Szegedi2006,mirtazapine,venlafaxine,0.2787434655,0.2498215675,72,130,62,128,0.0,0,Szegedi2006,2023,1,50,OR,harmful,mirtazapine,venlafaxine,128,72,62,130,128,130,128,72,62
185,Thase2006 (WELL 100368),bupropion,venlafaxine,0.1588536841,0.2147418231,86,171,82,177,0.0,0,Thase2006 (WELL 100368),2023,1,50,OR,harmful,bupropion,venlafaxine,177,86,82,171,177,171,177,86,82
186,Tignol1993 (29060/087),paroxetine,fluoxetine,-0.10570351,0.30897775180000003,53,89,54,87,0.0,0,Tignol1993 (29060/087),2023,1,50,OR,harmful,paroxetine,fluoxetine,87,53,54,89,87,89,87,53,54
187,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),fluvoxamine,citalopram,-0.1017410701,0.2978505346,31,109,33,108,0.0,0,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),2023,1,50,OR,harmful,fluvoxamine,citalopram,108,31,33,109,108,109,108,31,33
188,Tsutsui2000,paroxetine,trazodone,0.5947822308,0.26988827460000003,65,116,45,109,0.0,0,Tsutsui2000,2023,1,50,OR,harmful,paroxetine,trazodone,109,65,45,116,109,116,109,65,45
189,Tylee1997,fluoxetine,venlafaxine,-0.21835758100000002,0.2251903828,58,170,67,171,0.0,0,Tylee1997,2023,1,50,OR,harmful,fluoxetine,venlafaxine,171,58,67,170,171,170,171,58,67
190,Tzanakaki2000,fluoxetine,venlafaxine,-0.3523876919,0.4038086141,33,54,38,55,0.0,0,Tzanakaki2000,2023,1,50,OR,harmful,fluoxetine,venlafaxine,55,33,38,54,55,54,55,33,38
191,vanMoffaert1995a,sertraline,fluoxetine,0.0206192872,0.3163305645,49,83,48,82,0.0,0,vanMoffaert1995a,2023,1,50,OR,harmful,sertraline,fluoxetine,82,49,48,83,82,83,82,49,48
192,vanMoffaert1995b,mirtazapine,trazodone,0.40730688340000004,0.2864445403,61,100,51,100,0.0,0,vanMoffaert1995b,2023,1,50,OR,harmful,mirtazapine,trazodone,100,61,51,100,100,100,100,61,51
193,Ventura2007 (SCT-MD-18),escitalopram,sertraline,0.0740476421,0.29581854500000004,75,107,74,108,0.0,0,Ventura2007 (SCT-MD-18),2023,1,50,OR,harmful,escitalopram,sertraline,108,75,74,107,108,107,108,75,74
194,Versiani1999,fluoxetine,amitriptyline,0.0779184371,0.3608874955,57,77,58,80,0.0,0,Versiani1999,2023,1,50,OR,harmful,fluoxetine,amitriptyline,80,57,58,77,80,77,80,57,58
195,Versiani2005,mirtazapine,fluoxetine,0.16214903860000002,0.258674689,106,145,104,149,0.0,0,Versiani2005,2023,1,50,OR,harmful,mirtazapine,fluoxetine,149,106,104,145,149,145,149,106,104
196,Wade2003 (E-1721),mirtazapine,paroxetine,-0.23197146540000002,0.2940030746,35,99,40,98,0.0,0,Wade2003 (E-1721),2023,1,50,OR,harmful,mirtazapine,paroxetine,98,35,40,99,98,99,98,35,40
197,Wade2007 (Study 10990),escitalopram,duloxetine,0.4853178642,0.2393108672,94,144,81,151,0.0,0,Wade2007 (Study 10990),2023,1,50,OR,harmful,escitalopram,duloxetine,151,94,81,144,151,144,151,94,81
198,"Wang2015 (NCT01571453, KCT0000432, 13926A)",vortioxetine,venlafaxine,0.332574396,0.1961825612,139,213,132,230,0.0,0,"Wang2015 (NCT01571453, KCT0000432, 13926A)",2023,1,50,OR,harmful,vortioxetine,venlafaxine,230,139,132,213,230,213,230,139,132
199,Weisler1994,bupropion,trazodone,0.7396671962,0.36912790640000004,33,63,21,61,0.0,0,Weisler1994,2023,1,50,OR,harmful,bupropion,trazodone,61,33,21,63,61,63,61,33,21
200,WELL AK140016,bupropion,paroxetine,0.0008166599,0.3381307434,35,69,36,71,0.0,0,WELL AK140016,2023,1,50,OR,harmful,bupropion,paroxetine,71,35,36,69,71,69,71,35,36
201,Wheatley1998,mirtazapine,fluoxetine,0.6990819161,0.35218372200000003,39,66,28,67,0.0,0,Wheatley1998,2023,1,50,OR,harmful,mirtazapine,fluoxetine,67,39,28,66,67,66,67,39,28
202,Winokur2003,mirtazapine,fluoxetine,2.8332133441,1.5573501104,8,8,6,12,0.5,0,Winokur2003,2023,1,50,OR,harmful,mirtazapine,fluoxetine,12,8,6,8,12,8,12,8,6
203,Yang2003,milnacipran,sertraline,0.735706795,0.9138626415000001,4,27,2,26,0.0,0,Yang2003,2023,1,50,OR,harmful,milnacipran,sertraline,26,4,2,27,26,27,26,4,2
204,Yevtushenko2007,escitalopram,citalopram,1.3388921222,0.4873258824,103,109,90,110,0.0,0,Yevtushenko2007,2023,1,50,OR,harmful,escitalopram,citalopram,110,103,90,109,110,109,110,103,90
205,"Zivkov1995 (Organon 85146, FDA85146)",mirtazapine,amitriptyline,-0.3311958586,0.28072491980000003,53,103,62,104,0.0,0,"Zivkov1995 (Organon 85146, FDA85146)",2023,1,50,OR,harmful,mirtazapine,amitriptyline,104,53,62,103,104,103,104,53,62
