,StudyID,Drug,No_randomised,Responders,year,rob,No_randomised1,age,No_randomised2,Responders2
375,vanMoffaert1995b,mirtazapine,100,61,2023,l,100,50,100,61
376,vanMoffaert1995b,trazodone,100,51,2023,l,100,50,100,51
377,Ventura2007 (SCT-MD-18),escitalopram,107,75,2023,l,107,50,107,75
378,Ventura2007 (SCT-MD-18),sertraline,108,74,2023,l,108,50,108,74
379,Versiani1999,fluoxetine,77,57,2023,l,77,50,77,57
380,Versiani1999,amitriptyline,80,58,2023,l,80,50,80,58
381,Versiani2005,mirtazapine,145,106,2023,l,145,50,145,106
382,Versiani2005,fluoxetine,149,104,2023,l,149,50,149,104
383,Wade2003 (E-1721),mirtazapine,99,35,2023,l,99,50,99,35
384,Wade2003 (E-1721),paroxetine,98,40,2023,l,98,50,98,40
385,Wade2007 (Study 10990),escitalopram,144,94,2023,l,144,50,144,94
386,Wade2007 (Study 10990),duloxetine,151,81,2023,l,151,50,151,81
387,"Wang2015 (NCT01571453, KCT0000432, 13926A)",vortioxetine,213,139,2023,l,213,50,213,139
388,"Wang2015 (NCT01571453, KCT0000432, 13926A)",venlafaxine,230,132,2023,l,230,50,230,132
389,Weisler1994,bupropion,63,33,2023,l,63,50,63,33
390,Weisler1994,trazodone,61,21,2023,l,61,50,61,21
391,WELL AK140016,bupropion,69,35,2023,l,69,50,69,35
392,WELL AK140016,paroxetine,71,36,2023,l,71,50,71,36
393,Wheatley1998,mirtazapine,66,39,2023,l,66,50,66,39
394,Wheatley1998,fluoxetine,67,28,2023,l,67,50,67,28
395,Winokur2003,mirtazapine,8,8,2023,l,8,50,8,8
396,Winokur2003,fluoxetine,12,6,2023,l,12,50,12,6
397,Yang2003,milnacipran,27,4,2023,l,27,50,27,4
398,Yang2003,sertraline,26,2,2023,l,26,50,26,2
399,Yevtushenko2007,escitalopram,109,103,2023,l,109,50,109,103
400,Yevtushenko2007,citalopram,110,90,2023,l,110,50,110,90
401,"Zivkov1995 (Organon 85146, FDA85146)",mirtazapine,103,53,2023,l,103,50,103,53
402,"Zivkov1995 (Organon 85146, FDA85146)",amitriptyline,104,62,2023,l,104,50,104,62
