,studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,Study_No,Study_ID,Drug1,Drug2,OverallEfficM1,OverallEfficM2,OverallEfficSD1,OverallEfficSD2,OverallEfficN1,OverallEfficN2,No_randomised1,No_randomised2,rob,year
131,692,Aripiprazole,Olanzapine,15,7.495110706,22,-18.4,26,17,-33.4,20.8,692,Hatta 2009,Aripiprazole,Olanzapine,-18.4,-33.4,26,20.8,21,17,22,17,1,2000
132,692,Aripiprazole,Quetiapine,10.5,8.463171553,22,-18.4,26,20,-28.9,28.6,692,Hatta 2009,Aripiprazole,Quetiapine,-18.4,-28.9,26,28.6,21,20,22,20,1,2000
133,692,Aripiprazole,Risperidone,6.3,8.233736429,22,-18.4,26,21,-24.7,27.9,692,Hatta 2009,Aripiprazole,Risperidone,-18.4,-24.7,26,27.9,21,20,22,21,1,2000
134,692,Olanzapine,Quetiapine,-4.5,8.145392057,17,-33.4,20.8,20,-28.9,28.6,692,Hatta 2009,Olanzapine,Quetiapine,-33.4,-28.9,20.8,28.6,17,20,17,20,1,2000
135,692,Olanzapine,Risperidone,-8.7,7.906741087,17,-33.4,20.8,21,-24.7,27.9,692,Hatta 2009,Olanzapine,Risperidone,-33.4,-24.7,20.8,27.9,17,20,17,21,1,2000
136,692,Quetiapine,Risperidone,-4.2,8.829787249,20,-28.9,28.6,21,-24.7,27.9,692,Hatta 2009,Quetiapine,Risperidone,-28.9,-24.7,28.6,27.9,20,20,20,21,1,2000
137,3337,Olanzapine,Risperidone,-2.20909091,7.71189649,22,71.09090909,27.31451344,20,73.3,22.60995356,3337,Hatta 2013,Olanzapine,Risperidone,71.09090909,73.3,27.31451344,22.60995356,22,20,22,20,1,2000
138,3465,Haloperidol,Zuclopenthixol,3.666,2.082564953,33,26.643,8.255547451,30,22.977,8.255547451,3465,Heikkila 1981,Haloperidol,Zuclopenthixol,26.643,22.977,8.255547451,8.255547451,19,17,33,30,1,2000
139,1022,Haloperidol,Zuclopenthixol,-1.3,2.353158167,23,10.3,7.9341,26,11.6,8.5329,1022,Heikkilae 1992,Haloperidol,Zuclopenthixol,10.3,11.6,7.9341,8.5329,18,20,23,26,1,2000
140,3448,Chlorpromazine,Molindone,0.1,3.01346186,21,32.7,10.8,24,32.6,9.2,3448,Heikkinen 1993,Chlorpromazine,Molindone,32.7,32.6,10.8,9.2,21,24,21,24,1,2000
141,189,Clozapine,Risperidone,-3,4.450624956,20,-16.9,16.1,40,-13.9,16.55,189,Heinrich 1994,Clozapine,Risperidone,-16.9,-13.9,16.1,16.55,20,40,20,40,1,2000
142,190,Asenapine,Olanzapine,3.2,2.317391205,208,-16.7,19.1,103,-19.9,19.3,190,Hera 041-021,Asenapine,Olanzapine,-16.7,-19.9,19.1,19.3,208,103,208,103,1,2000
143,190,Asenapine,Placebo,-3.5,2.359090784,208,-16.7,19.1,106,-13.2,20.1,190,Hera 041-021,Asenapine,Placebo,-16.7,-13.2,19.1,20.1,208,106,208,106,1,2000
144,190,Olanzapine,Placebo,-6.7,2.725403247,103,-19.9,19.3,106,-13.2,20.1,190,Hera 041-021,Olanzapine,Placebo,-19.9,-13.2,19.3,20.1,103,106,103,106,1,2000
145,191,Asenapine,Olanzapine,4.3,2.875217319,91,-11.6,19.45,93,-15.9,19.55,191,Hera 041-022,Asenapine,Olanzapine,-11.6,-15.9,19.45,19.55,85,85,91,93,1,2000
146,191,Asenapine,Placebo,4,2.84612421,91,-11.6,19.45,93,-15.6,19.15,191,Hera 041-022,Asenapine,Placebo,-11.6,-15.6,19.45,19.15,85,89,91,93,1,2000
147,191,Olanzapine,Placebo,-0.3,2.837773245,93,-15.9,19.55,93,-15.6,19.15,191,Hera 041-022,Olanzapine,Placebo,-15.9,-15.6,19.55,19.15,85,89,93,93,1,2000
148,192,Placebo,Thioridazine,13.5,6.043931759,5,56.2,10.8,9,42.7,10.9,192,"Herrera 1990, 00640",Placebo,Thioridazine,56.2,42.7,10.8,10.9,5,9,5,9,1,2000
149,6373,Lurasidone,Placebo,-2.685826772,2.08028795,262,-5.185826772,19.53690148,133,-2.5,19.54,6373,Higuchi 2019,Lurasidone,Placebo,-5.185826772,-2.5,19.53690148,19.54,254,129,262,133,1,2000
150,6373,Lurasidone,Risperidone,1.914173228,2.705335506,262,-5.185826772,19.53690148,65,-7.1,19.52,6373,Higuchi 2019,Lurasidone,Risperidone,-5.185826772,-7.1,19.53690148,19.52,254,64,262,65,1,2000
151,6373,Placebo,Risperidone,4.6,2.955126066,133,-2.5,19.54,65,-7.1,19.52,6373,Higuchi 2019,Placebo,Risperidone,-2.5,-7.1,19.54,19.52,129,64,133,65,1,2000
152,702,Chlorpromazine,Clozapine,16.25,5.662602464,15,-8.75,17.45,16,-25,13.72,702,Honigfeld 1984a,Chlorpromazine,Clozapine,-8.75,-25,17.45,13.72,12,14,15,16,1,2000
153,702,Chlorpromazine,Placebo,-13.75,9.305792775,15,-8.75,17.45,8,5,23.03,702,Honigfeld 1984a,Chlorpromazine,Placebo,-8.75,5,17.45,23.03,12,8,15,8,1,2000
154,702,Clozapine,Placebo,-30,8.835299231,16,-25,13.72,8,5,23.03,702,Honigfeld 1984a,Clozapine,Placebo,-25,5,13.72,23.03,14,8,16,8,1,2000
155,199,Clozapine,Haloperidol,-12.37,3.628815719,39,-14.87,13.87,40,-2.5,18.15,199,Honigfeld 1984c,Clozapine,Haloperidol,-14.87,-2.5,13.87,18.15,39,40,39,40,1,2000
156,709,Perphenazine,Risperidone,4,4.768156319,52,-20,21,55,-24,28,709,Hoyberg 1993,Perphenazine,Risperidone,-20,-24,21,28,51,50,52,55,1,2000
157,710,Risperidone,Zuclopenthixol,-3,4.140313682,48,-14.4,20.48923902,50,-11.4,20.48923902,710,Huttunen 1995,Risperidone,Zuclopenthixol,-14.4,-11.4,20.48923902,20.48923902,48,50,48,50,1,2000
158,210,Haloperidol,Zotepine,-5.51,5.19289212,35,-16.11,22.32,35,-10.6,21.11,210,Hwang 2001,Haloperidol,Zotepine,-16.11,-10.6,22.32,21.11,35,35,35,35,1,2000
159,211,Amisulpride,Risperidone,4.3,5.196172504,23,-24.1,17.2,25,-28.4,18.8,211,Hwang 2003,Amisulpride,Risperidone,-24.1,-28.4,17.2,18.8,22,25,23,25,1,2000
160,714,Haloperidol,Olanzapine,3.9,2.937221441,89,-7.94,21.85,93,-11.84,17.42,714,Ishigooka 2001,Haloperidol,Olanzapine,-7.94,-11.84,21.85,17.42,78,80,89,93,1,2000
161,4686,Brexpiprazole,Placebo,-5.62117117,2.528699467,228,-13.25117117,21.65821841,116,-7.63,22.42960766,4686,Ishigooka 2018,Brexpiprazole,Placebo,-13.25117117,-7.63,21.65821841,22.42960766,222,113,228,116,1,2000
162,715,Clozapine,Haloperidol,-3,2.60592913,47,37,10.5,41,40,13.5,715,Itoh 1977,Clozapine,Haloperidol,37,40,10.5,13.5,47,41,47,41,1,2000
163,5028,Lurasidone,Placebo,-6.6,1.582913509,247,-19.3,17.22,236,-12.7,17.55,5028,Iyo 2021,Lurasidone,Placebo,-19.3,-12.7,17.22,17.55,245,233,247,236,1,2000
164,216,Haloperidol,Risperidone,2,6.272239831,32,-14,27.74,30,-16,21.42,216,Janicak 2001,Haloperidol,Risperidone,-14,-16,27.74,21.42,32,30,32,30,1,2000
165,718,Haloperidol,Placebo,-11.3,4.238776029,18,35.6,10.5,18,46.9,14.6,718,Jann 1997,Haloperidol,Placebo,35.6,46.9,10.5,14.6,12,8,18,18,1,2000
166,219,Olanzapine,Paliperidone,-0.8,2.917752381,47,-9.9,16.83,136,-9.1,18.39,219,Janssen CR012625,Olanzapine,Paliperidone,-9.9,-9.1,16.83,18.39,46,134,47,136,1,2000
167,219,Olanzapine,Placebo,-13.7,2.93420777,47,-9.9,16.83,138,3.8,18.88,219,Janssen CR012625,Olanzapine,Placebo,-9.9,3.8,16.83,18.88,46,138,47,138,1,2000
168,219,Paliperidone,Placebo,-12.9,2.251601545,136,-9.1,18.39,138,3.8,18.88,219,Janssen CR012625,Paliperidone,Placebo,-9.1,3.8,18.39,18.88,134,138,136,138,1,2000
169,3289,Olanzapine,Perphenazine,-7.4,4.36158768,47,-24.2,21.25457143,48,-16.8,21.25457143,3289,Jarema 2003,Olanzapine,Perphenazine,-24.2,-16.8,21.25457143,21.25457143,47,48,47,48,1,2000
170,1027,Aripiprazole,Olanzapine,-4.38,2.392513323,30,-45.31,11.94,30,-40.93,5.4,1027,Jindal 2013,Aripiprazole,Olanzapine,-45.31,-40.93,11.94,5.4,26,27,30,30,1,2000
171,722,Paliperidone,Placebo,-4.88,2.550089983,209,-28.98,20.92,107,-24.1,21.72,722,Johnson NCT00397033,Paliperidone,Placebo,-28.98,-24.1,20.92,21.72,203,107,209,107,1,2000
172,723,Paliperidone,Placebo,-9.2,2.30969638,216,-20,18.9,95,-10.8,18.7,723,Johnson NCT00412373,Paliperidone,Placebo,-20,-10.8,18.9,18.7,211,93,216,95,1,2000
173,724,Paliperidone,Placebo,-3.3,4.206855159,70,-15,26.02,65,-11.7,22.84,724,Johnson NCT00524043,Paliperidone,Placebo,-15,-11.7,26.02,22.84,70,63,70,65,1,2000
174,224,Flupentixol,Placebo,-3,1.413124198,15,5.2,3.87,15,8.2,3.87,224,"Johnstone 1978, 01073",Flupentixol,Placebo,5.2,8.2,3.87,3.87,15,15,15,15,1,2000
175,227,Placebo,Quetiapine,9.6,2.676293506,118,-18.8,26.5,470,-28.4,23.86,227,Kahn 2007,Placebo,Quetiapine,-18.8,-28.4,26.5,23.86,115,458,118,470,1,2000
176,231,Aripiprazole,Haloperidol,0.36,2.916840135,204,-13.44,25.25,104,-13.8,23.66,231,Kane 2002,Aripiprazole,Haloperidol,-13.44,-13.8,25.25,23.66,204,104,204,104,1,2000
177,231,Aripiprazole,Placebo,-10.54,2.899378716,204,-13.44,25.25,106,-2.9,23.66,231,Kane 2002,Aripiprazole,Placebo,-13.44,-2.9,25.25,23.66,204,106,204,106,1,2000
178,231,Haloperidol,Placebo,-10.9,3.265538327,104,-13.8,23.66,106,-2.9,23.66,231,Kane 2002,Haloperidol,Placebo,-13.8,-2.9,23.66,23.66,104,106,104,106,1,2000
179,734,Olanzapine,Paliperidone,-0.37,1.999638359,128,-19.9,19,375,-19.53,21.02,734,Kane 2007b,Olanzapine,Paliperidone,-19.9,-19.53,19,21.02,128,374,128,375,1,2000
180,734,Olanzapine,Placebo,-15.8,2.656769229,128,-19.9,19,127,-4.1,23.2,734,Kane 2007b,Olanzapine,Placebo,-19.9,-4.1,19,23.2,128,126,128,127,1,2000
181,734,Paliperidone,Placebo,-15.43,2.327305589,375,-19.53,21.02,127,-4.1,23.2,734,Kane 2007b,Paliperidone,Placebo,-19.53,-4.1,21.02,23.2,374,126,375,127,1,2000
182,983,Aripiprazole,Olanzapine,4.2,2.093259875,285,-27.3,25,281,-31.5,24.8,983,Kane 2009 28 weeks,Aripiprazole,Olanzapine,-27.3,-31.5,25,24.8,285,281,285,281,1,2000
183,235,Asenapine,Haloperidol,-0.4,2.051691195,220,-20.4,17.5,115,-20,18,235,Kane 2010a,Asenapine,Haloperidol,-20.4,-20,17.5,18,214,112,220,115,1,2000
184,235,Asenapine,Placebo,-5.8,1.991979019,220,-20.4,17.5,123,-14.6,17.8,235,Kane 2010a,Asenapine,Placebo,-20.4,-14.6,17.5,17.8,214,122,220,123,1,2000
185,235,Haloperidol,Placebo,-5.4,2.322353604,115,-20,18,123,-14.6,17.8,235,Kane 2010a,Haloperidol,Placebo,-20,-14.6,18,17.8,112,122,115,123,1,2000
186,1033,Brexpiprazole,Placebo,-4.78441667,1.82749309,370,-18.31441667,19.99192895,184,-13.53,20.39,1033,Kane 2015,Brexpiprazole,Placebo,-18.31441667,-13.53,19.99192895,20.39,360,180,370,184,1,2000
187,238,Aripiprazole,Haloperidol,-0.7,1.252200771,861,-20.4,21.25457143,433,-19.7,21.25457143,238,Kasper 2003,Aripiprazole,Haloperidol,-20.4,-19.7,21.25457143,21.25457143,853,430,861,433,1,2000
188,740,Placebo,Ziprasidone,6,2.598482236,48,-4.1,12.2,47,-10.1,13.1,740,Keck 1998,Placebo,Ziprasidone,-4.1,-10.1,12.2,13.1,47,41,48,47,1,2000
189,741,Haloperidol,Olanzapine,4.8,2.085457997,97,-7.6,16.3,159,-12.4,16,741,Keefe 2006,Haloperidol,Olanzapine,-7.6,-12.4,16.3,16,94,153,97,159,1,2000
190,741,Haloperidol,Risperidone,1.9,2.063889964,97,-7.6,16.3,158,-9.5,15.5,741,Keefe 2006,Haloperidol,Risperidone,-7.6,-9.5,16.3,15.5,94,148,97,158,1,2000
191,741,Olanzapine,Risperidone,-2.9,1.769359351,159,-12.4,16,158,-9.5,15.5,741,Keefe 2006,Olanzapine,Risperidone,-12.4,-9.5,16,15.5,153,148,159,158,1,2000
192,3469,Chlorpromazine,Clopenthixol,1.2,3.047950131,21,9.3,10.5399241,20,8.1,8.94427191,3469,Kingstone 1970,Chlorpromazine,Clopenthixol,9.3,8.1,10.5399241,8.94427191,21,20,21,20,1,2000
193,245,Olanzapine,Placebo,-6.08,3.784833021,62,-20.68,24.25,122,-14.6,24.3,245,Kinon 2011,Olanzapine,Placebo,-20.68,-14.6,24.25,24.3,62,122,62,122,1,2000
194,247,Amisulpride,Haloperidol,4,7.139008646,9,-22,12.8,10,-26,18.1,247,Klein 1985,Amisulpride,Haloperidol,-22,-26,12.8,18.1,9,10,9,10,1,2000
195,248,Haloperidol,Placebo,-16.6,7.016150201,22,-20.7,22.6,16,-4.1,20.4,248,Klieser 1989,Haloperidol,Placebo,-20.7,-4.1,22.6,20.4,20,16,22,16,1,2000
196,249,Clozapine,Haloperidol,-8,3.132491022,16,36,6,16,44,11,249,Klieser 1990,Clozapine,Haloperidol,36,44,6,11,15,15,16,16,1,2000
197,751,Haloperidol,Zotepine,-2,5.059831072,12,-12.7,8.66,14,-10.7,16.46,751,Klieser 1991,Haloperidol,Zotepine,-12.7,-10.7,8.66,16.46,12,14,12,14,1,2000
198,752,Clozapine,Haloperidol,-1,5.19048904,17,36,13,17,37,17,752,Klieser 1994,Clozapine,Haloperidol,36,37,13,17,17,17,17,17,1,2000
199,252,Clozapine,Olanzapine,-3.2,5.020823306,15,15.9,13.7,15,19.1,13.8,252,Kluge 2007,Clozapine,Olanzapine,15.9,19.1,13.7,13.8,15,15,15,15,1,2000
200,253,Haloperidol,Olanzapine,7.9,3.443805475,132,-36.7,28.86,144,-44.6,28.27,253,Kongsakon 2006,Haloperidol,Olanzapine,-36.7,-44.6,28.86,28.27,123,139,132,144,1,2000
201,1309,Loxapine,Thioridazine,-2.36,3.033496101,29,22.93,11.34306207,27,25.29,11.34306207,1309,Kramer 1978,Loxapine,Thioridazine,22.93,25.29,11.34306207,11.34306207,11,16,29,27,1,2000
202,262,Haloperidol,Zotepine,2.3,3.808109128,66,-21,21.25457143,59,-23.3,21.25457143,262,Laborde 2000,Haloperidol,Zotepine,-21,-23.3,21.25457143,21.25457143,63,59,66,59,1,2000
203,3367,Haloperidol,Olanzapine,-0.6,2.707661089,14,33.2,8.1,18,33.8,6.9,3367,Lahti 2009,Haloperidol,Olanzapine,33.2,33.8,8.1,6.9,12,17,14,18,1,2000
204,1408,Asenapine,Olanzapine,-0.1,2.789069883,113,-21.7,16.86,46,-21.6,15.56,1408,Landbloom 2016,Asenapine,Olanzapine,-21.7,-21.6,16.86,15.56,111,45,113,46,1,2000
205,1408,Asenapine,Placebo,-5.5,2.307530902,113,-21.7,16.86,103,-16.2,17.01,1408,Landbloom 2016,Asenapine,Placebo,-21.7,-16.2,16.86,17.01,111,99,113,103,1,2000
206,1408,Olanzapine,Placebo,-5.4,2.841208601,46,-21.6,15.56,103,-16.2,17.01,1408,Landbloom 2016,Olanzapine,Placebo,-21.6,-16.2,15.56,17.01,45,99,46,103,1,2000
207,1146,Perphenazine,Sulpiride,11.53,3.611326126,24,25.7,12.37620002,23,14.17,12.37620002,1146,Lepola 1989,Perphenazine,Sulpiride,25.7,14.17,12.37620002,12.37620002,12,17,24,23,1,2000
208,3368,Quetiapine,Risperidone,1.4,3.190122024,60,-31.9,17.5,59,-33.3,17.3,3368,Li 2012,Quetiapine,Risperidone,-31.9,-33.3,17.5,17.3,60,59,60,59,1,2000
209,275,Olanzapine,Perphenazine,-1.89,1.984507922,336,-11.22,24.05224194,261,-9.33,24.05224194,275,Lieberman 2005 18months,Olanzapine,Perphenazine,-11.22,-9.33,24.05224194,24.05224194,330,257,336,261,1,2000
210,275,Olanzapine,Quetiapine,-5.15,1.854293631,336,-11.22,24.05224194,337,-6.07,24.05224194,275,Lieberman 2005 18months,Olanzapine,Quetiapine,-11.22,-6.07,24.05224194,24.05224194,330,329,336,337,1,2000
211,275,Olanzapine,Risperidone,-1.89,1.848855927,336,-11.22,24.05224194,341,-9.33,24.05224194,275,Lieberman 2005 18months,Olanzapine,Risperidone,-11.22,-9.33,24.05224194,24.05224194,330,333,336,341,1,2000
212,275,Olanzapine,Ziprasidone,-8.09,2.202008152,336,-11.22,24.05224194,185,-3.13,24.05224194,275,Lieberman 2005 18months,Olanzapine,Ziprasidone,-11.22,-3.13,24.05224194,24.05224194,330,183,336,185,1,2000
213,275,Perphenazine,Quetiapine,-3.26,1.983220266,261,-9.33,24.05224194,337,-6.07,24.05224194,275,Lieberman 2005 18months,Perphenazine,Quetiapine,-9.33,-6.07,24.05224194,24.05224194,257,329,261,337,1,2000
214,275,Perphenazine,Risperidone,0,1.978137,261,-9.33,24.05224194,341,-9.33,24.05224194,275,Lieberman 2005 18months,Perphenazine,Risperidone,-9.33,-9.33,24.05224194,24.05224194,257,333,261,341,1,2000
215,275,Perphenazine,Ziprasidone,-6.2,2.311622299,261,-9.33,24.05224194,185,-3.13,24.05224194,275,Lieberman 2005 18months,Perphenazine,Ziprasidone,-9.33,-3.13,24.05224194,24.05224194,257,183,261,185,1,2000
216,275,Quetiapine,Risperidone,3.26,1.847473726,337,-6.07,24.05224194,341,-9.33,24.05224194,275,Lieberman 2005 18months,Quetiapine,Risperidone,-6.07,-9.33,24.05224194,24.05224194,329,333,337,341,1,2000
217,275,Quetiapine,Ziprasidone,-2.94,2.200847753,337,-6.07,24.05224194,185,-3.13,24.05224194,275,Lieberman 2005 18months,Quetiapine,Ziprasidone,-6.07,-3.13,24.05224194,24.05224194,329,183,337,185,1,2000
218,275,Risperidone,Ziprasidone,-6.2,2.196268244,341,-9.33,24.05224194,185,-3.13,24.05224194,275,Lieberman 2005 18months,Risperidone,Ziprasidone,-9.33,-3.13,24.05224194,24.05224194,333,183,341,185,1,2000
219,978,Lumateperone,Placebo,-5.8,2.289250611,84,-13.2,14.73,85,-7.4,15.03,978,Liebermann 2015,Lumateperone,Placebo,-13.2,-7.4,14.73,15.03,76,80,84,85,1,2000
220,978,Lumateperone,Risperidone,0.2,2.300097767,84,-13.2,14.73,82,-13.4,14.9,978,Liebermann 2015,Lumateperone,Risperidone,-13.2,-13.4,14.73,14.9,76,75,84,82,1,2000
221,978,Placebo,Risperidone,6,2.316267832,85,-7.4,15.03,82,-13.4,14.9,978,Liebermann 2015,Placebo,Risperidone,-7.4,-13.4,15.03,14.9,80,75,85,82,1,2000
222,278,Clozapine,Zotepine,-6,1.953540741,24,-1.3,6.3,35,4.7,8.7,278,Lin 2003,Clozapine,Zotepine,-1.3,4.7,6.3,8.7,24,35,24,35,1,2000
223,776,Placebo,Quetiapine,5.1,2.382692409,84,-5.6,18.6,267,-10.7,20.4,776,Lindenmayer 2008,Placebo,Quetiapine,-5.6,-10.7,18.6,20.4,78,252,84,267,1,2000
224,2798,Placebo,Risperidone,9.77,1.898035039,55,0.99,11.14,31,-8.78,6.46,2798,Litman 2016,Placebo,Risperidone,0.99,-8.78,11.14,6.46,53,30,55,31,1,2000
225,280,Olanzapine,Placebo,-13.06,3.935828349,22,-8.24,14.84,41,4.82,14.99,280,Litmann 2014,Olanzapine,Placebo,-8.24,4.82,14.84,14.99,22,41,22,41,1,2000
226,779,Haloperidol,Risperidone,-6.9,4.894785856,28,-31.6,20.6,28,-24.7,15.7,779,Liu 2000,Haloperidol,Risperidone,-31.6,-24.7,20.6,15.7,19,19,28,28,1,2000
227,3017,Lurasidone,Placebo,-10.4,2.349946968,199,-24.9,19.69974619,112,-14.5,20.00187991,3017,Loebel 2015a,Lurasidone,Placebo,-24.9,-14.5,19.69974619,20.00187991,198,112,199,112,1,2000
228,1347,Haloperidol,Trifluoperazine,-7.8,6.311192968,13,-13.5,16.09044805,13,-5.7,16.09044805,1347,Luckey 1967,Haloperidol,Trifluoperazine,-13.5,-5.7,16.09044805,16.09044805,11,10,13,13,1,2000
229,290,Olanzapine,Sertindole,-4.99,2.17660818,196,-23.78,21.8,198,-18.79,21.4,290,Lundbeck NCT00864045,Olanzapine,Sertindole,-23.78,-18.79,21.8,21.4,192,188,196,198,1,2000
230,1383,Sulpiride,Zuclopenthixol,1.3,1.930371294,31,7,9.3,30,5.7,5.3,1383,Mahadevan 1991,Sulpiride,Zuclopenthixol,7,5.7,9.3,5.3,24,16,31,30,1,2000
231,295,Chlorpromazine,Placebo,-7.8519,3.603246479,27,-17.8519,12.05,27,-10,14.33,295,Mahal 1976,Chlorpromazine,Placebo,-17.8519,-10,12.05,14.33,27,27,27,27,1,2000
232,298,Haloperidol,Placebo,-7.4,3.629007711,66,-4.1,19.4,66,3.3,22.2,298,Marder 1994,Haloperidol,Placebo,-4.1,3.3,19.4,22.2,64,64,66,66,1,2000
233,298,Haloperidol,Risperidone,12,3.385620215,66,-4.1,19.4,64,-16.1,19.2,298,Marder 1994,Haloperidol,Risperidone,-4.1,-16.1,19.4,19.2,64,63,66,64,1,2000
234,298,Placebo,Risperidone,19.4,3.636931774,66,3.3,22.2,64,-16.1,19.2,298,Marder 1994,Placebo,Risperidone,3.3,-16.1,22.2,19.2,64,63,66,64,1,2000
235,789,Olanzapine,Paliperidone,-1.8,2.297130162,110,-18.4,19.9,224,-16.6,19.38,789,Marder 2007c,Olanzapine,Paliperidone,-18.4,-16.6,19.9,19.38,105,222,110,224,1,2000
236,789,Olanzapine,Placebo,-10.4,2.793271135,110,-18.4,19.9,110,-8,21.5,789,Marder 2007c,Olanzapine,Placebo,-18.4,-8,19.9,21.5,105,105,110,110,1,2000
237,789,Paliperidone,Placebo,-8.6,2.424662615,224,-16.6,19.38,110,-8,21.5,789,Marder 2007c,Paliperidone,Placebo,-16.6,-8,19.38,21.5,222,105,224,110,1,2000
238,307,Aripiprazole,Placebo,-10.71,2.993842734,206,-13.04,24.54,108,-2.33,25.54,307,McEvoy 2007b,Aripiprazole,Placebo,-13.04,-2.33,24.54,25.54,200,107,206,108,1,2000
239,989,Aripiprazole,Olanzapine,2.5,2.301866978,156,-28.21,20.48923902,161,-30.71,20.48923902,989,McQuade 2004_6weeks,Aripiprazole,Olanzapine,-28.21,-30.71,20.48923902,20.48923902,95,101,156,161,1,2000
240,312,Haloperidol,Placebo,-9.8,2.683604795,98,-14,19.9,98,-4.2,17.6,312,Meltzer 2004,Haloperidol,Placebo,-14,-4.2,19.9,17.6,95,96,98,98,1,2000
241,313,Placebo,Risperidone,12,2.211981056,149,-7.7,19.2,154,-19.7,19.3,313,Meltzer 2007a,Placebo,Risperidone,-7.7,-19.7,19.2,19.3,144,151,149,154,1,2000
242,807,Clozapine,Zotepine,-1.3,4.709564736,25,36.1,15.3,25,37.4,17.9,807,Meyer-Lindenberg 1997,Clozapine,Zotepine,36.1,37.4,15.3,17.9,25,25,25,25,1,2000
243,319,Haloperidol,Risperidone,-4.8,3.618470299,19,-21.9,9.33,16,-17.1,11.67,319,Min 1993,Haloperidol,Risperidone,-21.9,-17.1,9.33,11.67,19,16,19,16,1,2000
244,320,Amisulpride,Haloperidol,-3.6,2.648629031,95,-20.9,18.5,96,-17.3,18.1,320,"M,Amisulpride""",Haloperidol,-20.9,-17.3,18.5,18.1,94,94,95,96,,1,2000
245,323,Placebo,Thioridazine,8.62,3.305121499,33,25.39,15.18,32,16.77,11.23,323,Montgomery 1992,Placebo,Thioridazine,25.39,16.77,15.18,11.23,23,27,33,32,1,2000
246,1363,Chlorpromazine,Loxapine,9.76,4.225558673,29,-18.57,16.09044805,29,-28.33,16.09044805,1363,Moore 1975,Chlorpromazine,Loxapine,-18.57,-28.33,16.09044805,16.09044805,29,28,29,29,1,2000
247,1131,Quetiapine,Risperidone,2.1,0.946124258,45,-30.2,4.87,45,-32.3,4.07,1131,Moosavi 2015,Quetiapine,Risperidone,-30.2,-32.3,4.87,4.07,45,45,45,45,1,2000
248,325,Olanzapine,Quetiapine,-3.5,4.151204644,20,69.4,10.8,20,72.9,15.1,325,Mori 2004,Olanzapine,Quetiapine,69.4,72.9,10.8,15.1,20,20,20,20,1,2000
249,325,Olanzapine,Risperidone,-2.1,3.662096035,20,69.4,10.8,19,71.5,12,325,Mori 2004,Olanzapine,Risperidone,69.4,71.5,10.8,12,20,19,20,19,1,2000
250,325,Quetiapine,Risperidone,1.4,4.356540757,20,72.9,15.1,19,71.5,12,325,Mori 2004,Quetiapine,Risperidone,72.9,71.5,15.1,12,20,19,20,19,1,2000
251,1315,Loxapine,Trifluoperazine,-6.07,3.53679375,25,28.43,12.37620002,24,34.5,12.37620002,1315,Moyano 1975,Loxapine,Trifluoperazine,28.43,34.5,12.37620002,12.37620002,21,23,25,24,1,2000
252,816,Haloperidol,Risperidone,-0.9,1.886423206,95,20.3,12.2,97,21.2,13.9,816,Murasaki 1993,Haloperidol,Risperidone,20.3,21.2,12.2,13.9,95,97,95,97,1,2000
253,817,Haloperidol,Quetiapine,-0.2,3.719096027,97,78.3,25.7,100,78.5,26.5,817,Murasaki 2001,Haloperidol,Quetiapine,78.3,78.5,25.7,26.5,90,97,97,100,1,2000
254,330,Olanzapine,Perphenazine,-0.8,7.035930148,23,53.7,23.86,23,54.5,23.86,330,Naukkarinen 2000,Olanzapine,Perphenazine,53.7,54.5,23.86,23.86,23,23,23,23,1,2000
255,3371,Olanzapine,Paliperidone,-1.75,2.038867715,145,-34.08,17.4,141,-32.33,17.08,3371,NCT00350467,Olanzapine,Paliperidone,-34.08,-32.33,17.4,17.08,145,141,145,141,1,2000
256,3171,Placebo,Risperidone,-1.44,3.864625814,37,-17.03,16.45144674,43,-15.59,18.1019336,3171,NCT00563706,Placebo,Risperidone,-17.03,-15.59,16.45144674,18.1019336,21,32,37,43,1,2000
257,3357,Chlorpromazine,Quetiapine,-2.5,1.769018828,192,-35.9,16.53405576,196,-33.4,18.28380431,3357,NCT00882518,Chlorpromazine,Quetiapine,-35.9,-33.4,16.53405576,18.28380431,150,159,192,196,1,2000
258,1415,Aripiprazole,Brexpiprazole,-1.79,3.593634527,50,-17.98,21.32,90,-16.19,18.55,1415,NCT00905307,Aripiprazole,Brexpiprazole,-17.98,-16.19,21.32,18.55,50,90,50,90,1,2000
259,1415,Aripiprazole,Placebo,-3.58,3.654625706,50,-17.98,21.32,95,-14.4,20.13,1415,NCT00905307,Aripiprazole,Placebo,-17.98,-14.4,21.32,20.13,50,93,50,95,1,2000
260,1415,Brexpiprazole,Placebo,-1.79,2.844081954,90,-16.19,18.55,95,-14.4,20.13,1415,NCT00905307,Brexpiprazole,Placebo,-16.19,-14.4,18.55,20.13,90,93,90,95,1,2000
261,1406,Asenapine,Placebo,-12.26874644,1.866169524,358,-13.21874644,20.22122131,174,-0.95,20.18,1406,NCT01098110,Asenapine,Placebo,-13.21874644,-0.95,20.22122131,20.18,351,174,358,174,1,2000
