studyID,armID,study_name,manga,study_year,pub_year,drug_name,Responders,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,baseline_mean,V,mean_efficacy,Imputation,IMPUTEDresp,Unpublished,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,RoB,OverallRoB,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t,rowID
144,2,Wade2007 (Study 10990),1,2006,2007,dulo,81,151,R from pub data and no or inadequate unpub data,45,11,,Fixed,Licensed,No,Comparator,23,8,11,LOCF,0,Yes,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,dulo,e43
144,1,Wade2007 (Study 10990),1,2006,2007,esci,94,144,R from pub data and no or inadequate unpub data,43,12,,Fixed,Licensed,Yes,Investigational,23,8,10,LOCF,0,Yes,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e42
145,2,Khan2007 (SCT-MD-23) (NCT00108979),1,2006,2007,dulo,52,138,R from pub data and no or inadequate unpub data,43,13,,Fixed,Licensed,No,Comparator,27,8,-13,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,dulo,e45
145,1,Khan2007 (SCT-MD-23) (NCT00108979),1,2006,2007,esci,61,140,R from pub data and no or inadequate unpub data,42,13,,Flexible,Licensed,Yes,Investigational,27,8,-15,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,esci,e44
146,1,Boulenger2006 (Study 10351),1,2006,2006,esci,144,232,Inadequate pub data and R from unpub data,44,13,,Fixed,Licensed,Yes,Investigational,35,8,-21,LOCF,1,Yes,Multi-center,Outpatients only,No,24,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e49
146,2,Boulenger2006 (Study 10351),1,2006,2006,paro,128,227,Inadequate pub data and R from unpub data,45,13,,Fixed,Licensed,Yes,Comparator,35,8,-19,LOCF,1,Yes,Multi-center,Outpatients only,No,24,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,paro,e50
147,2,Li2006,0,2006,2006,cita,19,28,R from pub data and no or inadequate unpub data,34,12,1,Flexible,Licensed,Unclear,Comparator,24,6,-12,Others,0,No,Single center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,,,l,Low risk,2,0,Moderate risk,0,0,0,0,cita,e52
147,1,Li2006,0,2006,2006,esci,22,28,R from pub data and no or inadequate unpub data,37,13,1,Flexible,Licensed,Unclear,Investigational,24,6,-15,Others,0,No,Single center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,,,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e51
148,2,Yevtushenko2007,0,2007,2007,cita,90,110,R from pub data and no or inadequate unpub data,35,7,1,Fixed,Licensed,No,Comparator,36,8,-25,LOCF,0,No,Multi-center,Outpatients only,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,0,0,0,l,Low risk,3,0,Low risk,0,0,0,0,cita,e57
148,1,Yevtushenko2007,0,2007,2007,esci,103,109,R from pub data and no or inadequate unpub data,35,7,1,Fixed,Licensed,Yes,Investigational,26,8,-29,LOCF,0,No,Multi-center,Outpatients only,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,,0,0,l,Low risk,3,0,Moderate risk,0,0,0,0,esci,e55
149,2,Mao2008,0,2008,2008,esci,94,123,R from pub data and no or inadequate unpub data,37,14,1,Fixed,Licensed,Yes,Investigational,25,8,9,LOCF,0,No,Multi-center,Both,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e59
149,1,Mao2008,0,2008,2008,fluo,89,117,R from pub data and no or inadequate unpub data,41,14,1,Fixed,Licensed,No,Comparator,24,8,9,LOCF,0,No,Multi-center,Both,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,fluo,e58
150,2,Hu2009,0,2009,2009,cita,19,23,R from pub data and no or inadequate unpub data,31,9,1,Flexible,Licensed,Unclear,Comparator,21,6,7,Others,0,No,Single center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,e61
150,1,Hu2009,0,2009,2009,esci,21,25,R from pub data and no or inadequate unpub data,31,8,1,Flexible,Licensed,Unclear,Investigational,21,6,7,Others,0,No,Single center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,esci,e60
151,2,Jiang2009,0,2009,2009,cita,31,32,R from pub data and no or inadequate unpub data,39,12,1,Flexible,Licensed,Unclear,Comparator,23,6,,OC,0,No,Single center,Both,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,cita,e63
151,1,Jiang2009,0,2009,2009,esci,30,32,R from pub data and no or inadequate unpub data,39,12,1,Flexible,Licensed,Unclear,Investigational,24,6,,OC,0,No,Single center,Both,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,esci,e62
152,1,Ou2010,0,2010,2010,cita,87,120,R from pub data and no or inadequate unpub data,36,12,1,Flexible,Licensed,Unclear,Comparator,23,6,9,LOCF,0,No,Multi-center,Both,Unclear,6,Yes,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,cita,e64
152,2,Ou2010,0,2010,2010,esci,83,120,R from pub data and no or inadequate unpub data,37,13,1,Flexible,Licensed,Unclear,Investigational,23,6,9,LOCF,0,No,Multi-center,Both,Unclear,6,Yes,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,esci,e65
153,2,Li2010,0,2010,2010,cita,19,24,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Yes,Comparator,,6,6,Others,0,No,Multi-center,Other/Unclear/Not stated,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,e67
153,1,Li2010,0,2010,2010,esci,20,24,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Yes,Investigational,,6,8,Others,0,No,Multi-center,Other/Unclear/Not stated,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,esci,e66
157,2,Lv2013,0,2013,2013,cita,17,22,R from pub data and no or inadequate unpub data,32,9,1,Flexible,Licensed,Unclear,Comparator,23,6,8,Others,0,No,Single center,Outpatients only,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,e78
157,1,Lv2013,0,2013,2013,esci,16,20,R from pub data and no or inadequate unpub data,32,8,1,Flexible,Licensed,Unclear,Investigational,23,6,8,Others,0,No,Single center,Outpatients only,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,esci,e77
169,2,Chouinard1985,0,1985,1985,amit,15,28,R imputed from pub data and no or inadequate unpub data,39,,,Flexible,Licensed,Unclear,Comparator,26,5,11,Others,1,No,Multi-center,Outpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,amit,f14
169,1,Chouinard1985,0,1985,1985,fluo,8,25,R imputed from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,Unclear,Investigational,28,5,16,Others,1,No,Multi-center,Outpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,fluo,f13
175,2,DeRonchi1998,0,1988,1988,amit,18,33,R from pub data and no or inadequate unpub data,69,8,,Fixed,Licensed,Unclear,Comparator,27,10,14,Others,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f26
175,1,DeRonchi1998,0,1988,1988,fluo,16,32,R from pub data and no or inadequate unpub data,69,6,,Fixed,Licensed,Unclear,Investigational,26,10,14,Others,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f25
176,1,Debus1988,0,1988,1988,fluo,9,22,R from pub data and no or inadequate unpub data,35,9,,Flexible,Licensed,Yes,Investigational,23,,,LOCF,0,No,Multi-center,Outpatients only,Yes,6,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f27
176,2,Debus1988,0,1988,1988,traz,9,21,R from pub data and no or inadequate unpub data,39,8,,Flexible,Licensed,No,Comparator,25,,,LOCF,0,No,Multi-center,Outpatients only,Yes,6,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,f28
178,2,Laakman1988  ,0,1988,1988,amit,57,65,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Unclear,Comparator,24,5,7,Others,0,No,Unclear,Outpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f32
178,1,Laakman1988  ,0,1988,1988,fluo,55,63,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Unclear,Investigational,27,5,9,Others,0,No,Unclear,Outpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f31
180,2,Falk1989,0,1989,1989,fluo,8,14,R imputed from pub data and no or inadequate unpub data,69,6,,Flexible,Licensed,Yes,Investigational,24,6,10,Others,1,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,1,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f36
180,1,Falk1989,0,1989,1989,traz,4,13,R imputed from pub data and no or inadequate unpub data,68,4,,Flexible,Licensed,No,Comparator,26,6,16,Others,1,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,1,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,f35
181,1,Fawcett1989,0,1989,1989,amit,7,20,R imputed from pub data and no or inadequate unpub data,45,10,,Flexible,Licensed,No,Comparator,24,6,15,OC,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,1,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f37
181,2,Fawcett1989,0,1989,1989,fluo,8,20,R imputed from pub data and no or inadequate unpub data,40,11,,Flexible,Licensed,Yes,Investigational,24,6,13,OC,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f38
182,2,Manna1989,0,1989,1989,clom,11,15,R imputed from pub data and no or inadequate unpub data,49,8,1,Fixed,Licensed,Unclear,Comparator,25,5,10,Others,1,No,Unclear,Inpatients only,Unclear,5,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,clom,f40
182,1,Manna1989,0,1989,1989,fluo,12,15,R imputed from pub data and no or inadequate unpub data,48,10,1,Fixed,Licensed,Unclear,Investigational,26,5,9,Others,1,No,Unclear,Inpatients only,Unclear,5,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f39
183,2,Ginestet1989,0,1989,1989,clom,18,26,R imputed from pub data and no or inadequate unpub data,52,11,1,Flexible,Licensed,No,Comparator,34,8,11,Others,1,No,Multi-center,Inpatients only,Unclear,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,clom,f42
183,1,Ginestet1989,0,1989,1989,fluo,22,28,R imputed from pub data and no or inadequate unpub data,47,11,1,Flexible,Licensed,Unclear,Investigational,33,8,10,Others,1,No,Multi-center,Inpatients only,Unclear,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f41
184,2,Ropert1989  ,0,1989,1989,clom,31,72,R imputed from pub data and no or inadequate unpub data,45,13,1,Fixed,Licensed,No,Comparator,23,6,,OC,1,No,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,clom,f44
184,1,Ropert1989  ,0,1989,1989,fluo,42,71,R imputed from pub data and no or inadequate unpub data,43,11,1,Fixed,Licensed,Unclear,Investigational,23,6,,OC,1,No,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f43
185,1,Fudge1990,0,1990,1990,fluo,10,21,R imputed from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Unclear,Unclear,23,,,OC,1,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f45
185,2,Fudge1990,0,1990,1990,traz,13,17,R imputed from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Unclear,Unclear,24,6,7,Others,1,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,f46
186,2,Kerkhofs1990,0,1990,1990,amit,6,18,R imputed from pub data and no or inadequate unpub data,46,11,1,Fixed,Licensed,No,Comparator,22,6,,OC,1,No,Unclear,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f48
186,1,Kerkhofs1990,0,1990,1990,fluo,6,16,R imputed from pub data and no or inadequate unpub data,45,13,1,Fixed,Licensed,Yes,Investigational,22,6,,OC,1,No,Unclear,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f47
187,1,Noguera1991,0,1991,1991,clom,32,60,R imputed from pub data and no or inadequate unpub data,46,,,Fixed,Licensed,No,Comparator,25,6,-13,Others,1,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,clom,f49
187,2,Noguera1991,0,1991,1991,fluo,37,60,R imputed from pub data and no or inadequate unpub data,46,,,Flexible,Licensed,Yes,Investigational,24,6,-15,Others,1,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f50
188,2,Keegan1991,0,1991,1991,amit,16,22,R from pub data and no or inadequate unpub data,48,14,1,Flexible,Licensed,No,Comparator,,6,,Others,0,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,amit,f52
188,1,Keegan1991,0,1991,1991,fluo,12,20,R from pub data and no or inadequate unpub data,40,14,1,Flexible,Licensed,Yes,Investigational,,6,,Others,0,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,fluo,f51
189,2,Preskorn1991,0,1991,1991,amit,8,31,R imputed from pub data and no or inadequate unpub data,,,,Flexible,Licensed,No,Comparator,24,6,-8,Others,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,1,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f54
189,1,Preskorn1991,0,1991,1991,fluo,12,30,R imputed from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Yes,Investigational,24,6,-10,Others,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f53
190,2,Beasley1991,0,1991,1991,fluo,33,65,R imputed from pub data and no or inadequate unpub data,40,11,1,Flexible,Licensed,Yes,Investigational,23,6,-12,LOCF,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f56
190,1,Beasley1991,0,1991,1991,traz,34,61,R imputed from pub data and no or inadequate unpub data,40,11,1,Flexible,Licensed,No,Comparator,24,6,-14,LOCF,1,No,Multi-center,Outpatients only,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,f55
191,2,Judd1993,0,1993,1993,amit,12,28,R imputed from pub data and no or inadequate unpub data,42,10,1,Flexible,Licensed,No,Comparator,24,6,12,Others,1,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f58
191,1,Judd1993,0,1993,1993,fluo,15,30,R imputed from pub data and no or inadequate unpub data,42,10,1,Fixed,Licensed,Yes,Investigational,24,6,,OC,1,No,Multi-center,Other/Unclear/Not stated,Yes,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,f57
196,1,Demyttenaere1998  ,0,1998,1998,amit,18,31,R from pub data and no or inadequate unpub data,42,8,,Fixed,Licensed,No,Comparator,24,9,7,Others,0,No,Multi-center,Outpatients only,Unclear,9,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f67
196,2,Demyttenaere1998  ,0,1998,1998,fluo,22,35,R from pub data and no or inadequate unpub data,41,9,,Fixed,Licensed,Yes,Investigational,25,9,10,Others,0,No,Multi-center,Outpatients only,Unclear,9,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f68
197,2,Marchesi1998  ,0,1998,1998,amit,59,75,R from pub data and no or inadequate unpub data,44,12,1,Flexible,Licensed,No,Comparator,25,10,8,LOCF,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,amit,f70
197,1,Marchesi1998  ,0,1998,1998,fluo,45,67,R from pub data and no or inadequate unpub data,44,12,1,Fixed,Licensed,Yes,Investigational,26,10,9,LOCF,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,fluo,f69
198,2,OntiverosSanchez1998  ,0,1998,1998,amit,6,21,R from pub data and no or inadequate unpub data,37,9,1,Flexible,Licensed,No,Comparator,23,6,6,Others,0,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,amit,f72
198,1,OntiverosSanchez1998  ,0,1998,1998,fluo,7,21,R from pub data and no or inadequate unpub data,39,12,0,Fixed,Licensed,Yes,Investigational,24,6,8,Others,0,No,Single center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,fluo,f71
199,2,Versiani1999,0,1999,1999,amit,58,80,R from pub data and no or inadequate unpub data,41,,1,Flexible,Licensed,No,Comparator,28,8,9,Others,0,No,Multi-center,Other/Unclear/Not stated,Yes,8,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,amit,f74
199,1,Versiani1999,0,1999,1999,fluo,57,77,R from pub data and no or inadequate unpub data,41,,1,Fixed,Licensed,Yes,Investigational,28,8,11,Others,0,No,Multi-center,Other/Unclear/Not stated,Yes,8,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,fluo,f73
202,2,Fava2002,1,2002,2002,fluo,57,92,R from pub data and no or inadequate unpub data,42,14,,Flexible,Licensed,Yes,Investigational,21,10,9,Others,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,fluo,f80
202,3,Fava2002,1,2002,2002,paro,64,96,R from pub data and no or inadequate unpub data,43,15,,Flexible,Licensed,No,Comparator,21,10,8,Others,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,paro,f81
202,1,Fava2002,1,2002,2002,sert,70,96,R from pub data and no or inadequate unpub data,44,15,,Flexible,Licensed,No,Comparator,21,10,8,Others,0,No,Multi-center,Outpatients only,Yes,10,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,sert,f79
210,2,DeWilde1983a,0,1983,1983,clom,17,21,R imputed from pub data and no or inadequate unpub data,,,,Flexible,Licensed,No,Comparator,24,6,5,Others,1,No,Single center,Outpatients only,Unclear,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,clom,fl02
