Study_No,Study_ID,Drug,OverallEfficM,OverallEfficSD,OverallEfficN,No_randomised,RoB,Year,sec_OverallEfficM,sec_OverallEfficSD,sec_OverallEfficN
248,Klieser 1989,Haloperidol,-20.7,22.6,20,22,1,2010,-20.7,22.6,20
248,Klieser 1989,Placebo,-4.1,20.4,16,16,1,2010,-4.1,20.4,16
249,Klieser 1990,Clozapine,36,6,15,16,1,2010,36,6,15
249,Klieser 1990,Haloperidol,44,11,15,16,1,2010,44,11,15
751,Klieser 1991,Haloperidol,-12.7,8.66,12,12,1,2010,-12.7,8.66,12
751,Klieser 1991,Zotepine,-10.7,16.46,14,14,1,2010,-10.7,16.46,14
752,Klieser 1994,Clozapine,36,13,17,17,1,2010,36,13,17
752,Klieser 1994,Haloperidol,37,17,17,17,1,2010,37,17,17
252,Kluge 2007,Clozapine,15.9,13.7,15,15,1,2010,15.9,13.7,15
252,Kluge 2007,Olanzapine,19.1,13.8,15,15,1,2010,19.1,13.8,15
253,Kongsakon 2006,Haloperidol,-36.7,28.86,123,132,1,2010,-36.7,28.86,123
253,Kongsakon 2006,Olanzapine,-44.6,28.27,139,144,1,2010,-44.6,28.27,139
1309,Kramer 1978,Loxapine,22.93,11.34306207,11,29,1,2010,22.93,11.34306207,11
1309,Kramer 1978,Thioridazine,25.29,11.34306207,16,27,1,2010,25.29,11.34306207,16
262,Laborde 2000,Haloperidol,-21,21.25457143,63,66,1,2010,-21,21.25457143,63
262,Laborde 2000,Zotepine,-23.3,21.25457143,59,59,1,2010,-23.3,21.25457143,59
3367,Lahti 2009,Haloperidol,33.2,8.1,12,14,1,2010,33.2,8.1,12
3367,Lahti 2009,Olanzapine,33.8,6.9,17,18,1,2010,33.8,6.9,17
1408,Landbloom 2016,Asenapine,-21.7,16.86,111,113,1,2010,-21.7,16.86,111
1408,Landbloom 2016,Olanzapine,-21.6,15.56,45,46,1,2010,-21.6,15.56,45
1408,Landbloom 2016,Placebo,-16.2,17.01,99,103,1,2010,-16.2,17.01,99
1146,Lepola 1989,Perphenazine,25.7,12.37620002,12,24,1,2010,25.7,12.37620002,12
1146,Lepola 1989,Sulpiride,14.17,12.37620002,17,23,1,2010,14.17,12.37620002,17
3368,Li 2012,Quetiapine,-31.9,17.5,60,60,1,2010,-31.9,17.5,60
3368,Li 2012,Risperidone,-33.3,17.3,59,59,1,2010,-33.3,17.3,59
275,Lieberman 2005 18months,Olanzapine,-11.22,24.05224194,330,336,1,2010,-11.22,24.05224194,330
275,Lieberman 2005 18months,Perphenazine,-9.33,24.05224194,257,261,1,2010,-9.33,24.05224194,257
275,Lieberman 2005 18months,Quetiapine,-6.07,24.05224194,329,337,1,2010,-6.07,24.05224194,329
275,Lieberman 2005 18months,Risperidone,-9.33,24.05224194,333,341,1,2010,-9.33,24.05224194,333
275,Lieberman 2005 18months,Ziprasidone,-3.13,24.05224194,183,185,1,2010,-3.13,24.05224194,183
978,Liebermann 2015,Lumateperone,-13.2,14.73,76,84,1,2010,-13.2,14.73,76
978,Liebermann 2015,Placebo,-7.4,15.03,80,85,1,2010,-7.4,15.03,80
978,Liebermann 2015,Risperidone,-13.4,14.9,75,82,1,2010,-13.4,14.9,75
278,Lin 2003,Clozapine,-1.3,6.3,24,24,1,2010,-1.3,6.3,24
278,Lin 2003,Zotepine,4.7,8.7,35,35,1,2010,4.7,8.7,35
776,Lindenmayer 2008,Placebo,-5.6,18.6,78,84,1,2010,-5.6,18.6,78
776,Lindenmayer 2008,Quetiapine,-10.7,20.4,252,267,1,2010,-10.7,20.4,252
2798,Litman 2016,Placebo,0.99,11.14,53,55,1,2010,0.99,11.14,53
2798,Litman 2016,Risperidone,-8.78,6.46,30,31,1,2010,-8.78,6.46,30
280,Litmann 2014,Olanzapine,-8.24,14.84,22,22,1,2010,-8.24,14.84,22
280,Litmann 2014,Placebo,4.82,14.99,41,41,1,2010,4.82,14.99,41
779,Liu 2000,Haloperidol,-31.6,20.6,19,28,1,2010,-31.6,20.6,19
779,Liu 2000,Risperidone,-24.7,15.7,19,28,1,2010,-24.7,15.7,19
3017,Loebel 2015a,Lurasidone,-24.9,19.69974619,198,199,1,2010,-24.9,19.69974619,198
3017,Loebel 2015a,Placebo,-14.5,20.00187991,112,112,1,2010,-14.5,20.00187991,112
1347,Luckey 1967,Haloperidol,-13.5,16.09044805,11,13,1,2010,-13.5,16.09044805,11
1347,Luckey 1967,Trifluoperazine,-5.7,16.09044805,10,13,1,2010,-5.7,16.09044805,10
290,Lundbeck NCT00864045,Olanzapine,-23.78,21.8,192,196,1,2010,-23.78,21.8,192
290,Lundbeck NCT00864045,Sertindole,-18.79,21.4,188,198,1,2010,-18.79,21.4,188
1383,Mahadevan 1991,Sulpiride,7,9.3,24,31,1,2010,7,9.3,24
1383,Mahadevan 1991,Zuclopenthixol,5.7,5.3,16,30,1,2010,5.7,5.3,16
295,Mahal 1976,Chlorpromazine,-17.8519,12.05,27,27,1,2010,-17.8519,12.05,27
295,Mahal 1976,Placebo,-10,14.33,27,27,1,2010,-10,14.33,27
298,Marder 1994,Haloperidol,-4.1,19.4,64,66,1,2010,-4.1,19.4,64
298,Marder 1994,Placebo,3.3,22.2,64,66,1,2010,3.3,22.2,64
298,Marder 1994,Risperidone,-16.1,19.2,63,64,1,2010,-16.1,19.2,63
789,Marder 2007c,Olanzapine,-18.4,19.9,105,110,1,2010,-18.4,19.9,105
789,Marder 2007c,Paliperidone,-16.6,19.38,222,224,1,2010,-16.6,19.38,222
789,Marder 2007c,Placebo,-8,21.5,105,110,1,2010,-8,21.5,105
307,McEvoy 2007b,Aripiprazole,-13.04,24.54,200,206,1,2010,-13.04,24.54,200
307,McEvoy 2007b,Placebo,-2.33,25.54,107,108,1,2010,-2.33,25.54,107
989,McQuade 2004_6weeks,Aripiprazole,-28.21,20.48923902,95,156,1,2010,-28.21,20.48923902,95
989,McQuade 2004_6weeks,Olanzapine,-30.71,20.48923902,101,161,1,2010,-30.71,20.48923902,101
312,Meltzer 2004,Haloperidol,-14,19.9,95,98,1,2010,-14,19.9,95
312,Meltzer 2004,Placebo,-4.2,17.6,96,98,1,2010,-4.2,17.6,96
313,Meltzer 2007a,Placebo,-7.7,19.2,144,149,1,2010,-7.7,19.2,144
313,Meltzer 2007a,Risperidone,-19.7,19.3,151,154,1,2010,-19.7,19.3,151
807,Meyer-Lindenberg 1997,Clozapine,36.1,15.3,25,25,1,2010,36.1,15.3,25
807,Meyer-Lindenberg 1997,Zotepine,37.4,17.9,25,25,1,2010,37.4,17.9,25
319,Min 1993,Haloperidol,-21.9,9.33,19,19,1,2010,-21.9,9.33,19
319,Min 1993,Risperidone,-17.1,11.67,16,16,1,2010,-17.1,11.67,16
320,Möller 1997,Amisulpride,-20.9,18.5,94,95,1,2010,-20.9,18.5,94
320,Möller 1997,Haloperidol,-17.3,18.1,94,96,1,2010,-17.3,18.1,94
323,Montgomery 1992,Placebo,25.39,15.18,23,33,1,2010,25.39,15.18,23
323,Montgomery 1992,Thioridazine,16.77,11.23,27,32,1,2010,16.77,11.23,27
1363,Moore 1975,Chlorpromazine,-18.57,16.09044805,29,29,1,2010,-18.57,16.09044805,29
1363,Moore 1975,Loxapine,-28.33,16.09044805,28,29,1,2010,-28.33,16.09044805,28
1131,Moosavi 2015,Quetiapine,-30.2,4.87,45,45,1,2010,-30.2,4.87,45
1131,Moosavi 2015,Risperidone,-32.3,4.07,45,45,1,2010,-32.3,4.07,45
325,Mori 2004,Olanzapine,69.4,10.8,20,20,1,2010,69.4,10.8,20
325,Mori 2004,Quetiapine,72.9,15.1,20,20,1,2010,72.9,15.1,20
325,Mori 2004,Risperidone,71.5,12,19,19,1,2010,71.5,12,19
1315,Moyano 1975,Loxapine,28.43,12.37620002,21,25,1,2010,28.43,12.37620002,21
1315,Moyano 1975,Trifluoperazine,34.5,12.37620002,23,24,1,2010,34.5,12.37620002,23
816,Murasaki 1993,Haloperidol,20.3,12.2,95,95,1,2010,20.3,12.2,95
816,Murasaki 1993,Risperidone,21.2,13.9,97,97,1,2010,21.2,13.9,97
817,Murasaki 2001,Haloperidol,78.3,25.7,90,97,1,2010,78.3,25.7,90
817,Murasaki 2001,Quetiapine,78.5,26.5,97,100,1,2010,78.5,26.5,97
330,Naukkarinen 2000,Olanzapine,53.7,23.86,23,23,1,2010,53.7,23.86,23
330,Naukkarinen 2000,Perphenazine,54.5,23.86,23,23,1,2010,54.5,23.86,23
3371,NCT00350467,Olanzapine,-34.08,17.4,145,145,1,2010,-34.08,17.4,145
3371,NCT00350467,Paliperidone,-32.33,17.08,141,141,1,2010,-32.33,17.08,141
3171,NCT00563706,Placebo,-17.03,16.45144674,21,37,1,2010,-17.03,16.45144674,21
3171,NCT00563706,Risperidone,-15.59,18.1019336,32,43,1,2010,-15.59,18.1019336,32
3357,NCT00882518,Chlorpromazine,-35.9,16.53405576,150,192,1,2010,-35.9,16.53405576,150
3357,NCT00882518,Quetiapine,-33.4,18.28380431,159,196,1,2010,-33.4,18.28380431,159
1415,NCT00905307,Aripiprazole,-17.98,21.32,50,50,1,2010,-17.98,21.32,50
1415,NCT00905307,Brexpiprazole,-16.19,18.55,90,90,1,2010,-16.19,18.55,90
1415,NCT00905307,Placebo,-14.4,20.13,93,95,1,2010,-14.4,20.13,93
1406,NCT01098110,Asenapine,-13.21874644,20.22122131,351,358,1,2010,-13.21874644,20.22122131,351
1406,NCT01098110,Placebo,-0.95,20.18,174,174,1,2010,-0.95,20.18,174
331,NCT01104766,Aripiprazole,-21.2,17.15,150,152,1,2010,-21.2,17.15,150
331,NCT01104766,Cariprazine,-21.61377049,18.57393604,305,312,1,2010,-21.61377049,18.57393604,305
331,NCT01104766,Placebo,-14.3,18.3,149,153,1,2010,-14.3,18.3,149
3400,NCT01614899,Lurasidone,-17.2410596,20.78851482,302,305,1,2010,-17.2410596,20.78851482,302
3400,NCT01614899,Placebo,-11.9,20.8,148,152,1,2010,-11.9,20.8,148
3325,NCT01810380,Brexpiprazole,-20,18.37,150,150,1,2010,-20,18.37,150
3325,NCT01810380,Placebo,-15.9,18.91,159,163,1,2010,-15.9,18.91,159
3325,NCT01810380,Quetiapine,-24,18.37,150,154,1,2010,-24,18.37,150
3048,NCT02469155,Lumateperone,-14.6,15.27,162,174,1,2010,-14.6,15.27,162
3048,NCT02469155,Placebo,-15.1,15.6,169,174,1,2010,-15.1,15.6,169
3048,NCT02469155,Risperidone,-20.5,16.29,157,174,1,2010,-20.5,16.29,157
3681,NCT02876900,Asenapine,-21.24579208,16.49199746,404,411,1,2010,-21.24579208,16.49199746,404
3681,NCT02876900,Placebo,-15.5,16.61,203,206,1,2010,-15.5,16.61,203
1204,O Brien 1974,Haloperidol,-31.2,16.09044805,12,15,1,2010,-31.2,16.09044805,12
1204,O Brien 1974,Trifluoperazine,-21.2,16.09044805,12,15,1,2010,-21.2,16.09044805,12
829,Patil 2007,Olanzapine,-19.12,22.67,34,34,1,2010,-19.12,22.67,34
829,Patil 2007,Placebo,7.63,28.4,62,63,1,2010,7.63,28.4,62
832,Petit 1996,Haloperidol,-13.45,15.82,62,63,1,2010,-13.45,15.82,62
832,Petit 1996,Zotepine,-17.03,15.82,62,63,1,2010,-17.03,15.82,62
345,Peuskens 1995,Haloperidol,-15,21.8,223,226,1,2010,-15,21.8,223
345,Peuskens 1995,Risperidone,-18.2477,23.5079578,455,457,1,2010,-18.2477,23.5079578,455
346,Peuskens 1997,Chlorpromazine,-18.6,17.3,98,100,1,2010,-18.6,17.3,98
346,Peuskens 1997,Quetiapine,-19.5,18.5,98,101,1,2010,-19.5,18.5,98
347,Peuskens 1999,Amisulpride,-17.7,14.9,115,115,1,2010,-17.7,14.9,115
347,Peuskens 1999,Risperidone,-15.2,13.9,113,113,1,2010,-15.2,13.9,113
350,"Pi 1990, 01400",Placebo,55.5,12.37620002,5,5,1,2010,55.5,12.37620002,5
350,"Pi 1990, 01400",Thioridazine,49.5,12.37620002,7,7,1,2010,49.5,12.37620002,7
1379,Pichot 1983,Chlorpromazine,47.4,12.37620002,28,28,1,2010,47.4,12.37620002,28
1379,Pichot 1983,Sulpiride,44,12.37620002,33,33,1,2010,44,12.37620002,33
843,Potkin 2003,Aripiprazole,-14.2,20.52,194,202,1,2010,-14.2,20.52,194
843,Potkin 2003,Placebo,-5,21.14,103,103,1,2010,-5,21.14,103
843,Potkin 2003,Risperidone,-15.7,22.31,95,99,1,2010,-15.7,22.31,95
845,Potkin 2007c,Asenapine,-19.8,24.8,58,60,1,2010,-19.8,24.8,58
845,Potkin 2007c,Placebo,-8.5,26.4,60,62,1,2010,-8.5,26.4,60
845,Potkin 2007c,Risperidone,-16.2,24.5,56,60,1,2010,-16.2,24.5,56
359,Potter 1989,Chlorpromazine,25,8.9,20,20,1,2010,25,8.9,20
359,Potter 1989,Clozapine,29,12.3,17,17,1,2010,29,12.3,17
851,Puech 1998,Amisulpride,-25.45,16.74,125,129,1,2010,-25.45,16.74,125
851,Puech 1998,Haloperidol,-18.9,16,61,64,1,2010,-18.9,16,61
367,Ramu 1999,Chlorpromazine,-17.8,11.95,27,27,1,2010,-17.8,11.95,27
367,Ramu 1999,Placebo,-10,14.03,27,27,1,2010,-10,14.03,27
1116,Remvig 1987,Perphenazine,6.235882244,6.517311609,18,18,1,2010,6.235882244,6.517311609,18
1116,Remvig 1987,Zuclopenthixol,5.64339937,7.111645991,22,22,1,2010,5.64339937,7.111645991,22
376,Riedel 2007,Olanzapine,-17.88,20.71,17,26,1,2010,-17.88,20.71,17
376,Riedel 2007,Quetiapine,-21.5,23.39,16,26,1,2010,-21.5,23.39,16
381,Rosenheck 2003w6,Haloperidol,79,15.8,115,150,1,2010,79,15.8,115
381,Rosenheck 2003w6,Olanzapine,79.9,15.5,121,159,1,2010,79.9,15.5,121
867,Rüther 1988,Amisulpride,37.14,7.26,12,15,1,2010,37.14,7.26,12
867,Rüther 1988,Perazine,41.7,7.82,13,15,1,2010,41.7,7.82,13
384,Sacchetti 2008,Olanzapine,-35.83,20.48923902,25,25,1,2010,-35.83,20.48923902,25
384,Sacchetti 2008,Quetiapine,-38.15,20.48923902,25,25,1,2010,-38.15,20.48923902,25
384,Sacchetti 2008,Risperidone,-32.74,20.48923902,25,25,1,2010,-32.74,20.48923902,25
4691,Schennach 2018,Haloperidol,74.99,20.38,58,58,1,2010,74.99,20.38,58
4691,Schennach 2018,Ziprasidone,66.23,23.01,54,54,1,2010,66.23,23.01,54
394,Schmidt 2014,Olanzapine,-22.9,16.92,81,93,1,2010,-22.9,16.92,81
394,Schmidt 2014,Placebo,-6.4,15.13,55,101,1,2010,-6.4,15.13,55
879,Schoemaker 2010,Asenapine,-21,22.8,869,913,1,2010,-21,22.8,869
879,Schoemaker 2010,Olanzapine,-27.5,22,297,312,1,2010,-27.5,22,297
85,Sechter 2002,Amisulpride,-26.2,19.1,151,152,1,2010,-26.2,19.1,151
85,Sechter 2002,Risperidone,-26,20.4,157,158,1,2010,-26,20.4,157
597,Selman 1976,Haloperidol,36.4,19.9,26,29,1,2010,36.4,19.9,26
597,Selman 1976,Loxapine,39,19.9,28,29,1,2010,39,19.9,28
597,Selman 1976,Placebo,47.6,19.9,25,29,1,2010,47.6,19.9,25
88,Serafetinides 1972,Chlorpromazine,39.58,10.69,11,14,1,2010,39.58,10.69,11
88,Serafetinides 1972,Clopenthixol,42.36,8.95,15,15,1,2010,42.36,8.95,15
88,Serafetinides 1972,Haloperidol,42.51,8.77,14,14,1,2010,42.51,8.77,14
88,Serafetinides 1972,Placebo,51.93,10.69,13,14,1,2010,51.93,10.69,13
1326,Shah 2011,Olanzapine,-41.3,16.31,100,105,1,2010,-41.3,16.31,100
1326,Shah 2011,Paliperidone,-41.5,16.31,106,109,1,2010,-41.5,16.31,106
601,Shen 2014,Olanzapine,-14.7,20.22,71,77,1,2010,-14.7,20.22,71
601,Shen 2014,Placebo,-2.7,20.56,71,78,1,2010,-2.7,20.56,71
1213,Simpson 1976,Loxapine,37.8,12.37620002,24,24,1,2010,37.8,12.37620002,24
1213,Simpson 1976,Trifluoperazine,37.05,12.37620002,19,19,1,2010,37.05,12.37620002,19
607,Simpson 2004,Olanzapine,-11.95,13.53,126,133,1,2010,-11.95,13.53,126
607,Simpson 2004,Ziprasidone,-11.45,13.53,125,136,1,2010,-11.45,13.53,125
98,Singer 1974,Chlorpromazine,-25.1,4.25,19,20,1,2010,-25.1,4.25,19
98,Singer 1974,Clozapine,-27.5,4.25,19,20,1,2010,-27.5,4.25,19
611,Small 1997,Placebo,-1,15.44,92,96,1,2010,-1,15.44,92
611,Small 1997,Quetiapine,-8.7,15.73,92,96,1,2010,-8.7,15.73,92
403,Study 006,Lurasidone,-19.7,25.5,96,99,1,2010,-19.7,25.5,96
403,Study 006,Placebo,-4.6,26.4,49,50,1,2010,-4.6,26.4,49
404,Study 049,Haloperidol,-16,19.43,72,73,1,2010,-16,19.43,72
404,Study 049,Lurasidone,-10.52,19.8,135,140,1,2010,-10.52,19.8,135
404,Study 049,Placebo,-12.3,19.55,71,72,1,2010,-12.3,19.55,71
405,Study 115 2000,Haloperidol,-15.2,27.84,82,85,1,2010,-15.2,27.84,82
405,Study 115 2000,Placebo,-0.4,23.11,80,83,1,2010,-0.4,23.11,80
405,Study 115 2000,Ziprasidone,-8.44,19.83,158,164,1,2010,-8.44,19.83,158
891,Study 196,Lurasidone,-14.1,19.92,90,90,1,2010,-14.1,19.92,90
891,Study 196,Placebo,-5.5,20.87,90,90,1,2010,-5.5,20.87,90
892,Study 229,Lurasidone,-21,19.5,362,372,1,2010,-21,19.5,362
892,Study 229,Placebo,-17,20,124,128,1,2010,-17,20,124
893,Study 231,Lurasidone,-24.65,22.3,236,239,1,2010,-24.65,22.3,236
893,Study 231,Olanzapine,-28.7,20.9,121,123,1,2010,-28.7,20.9,121
893,Study 231,Placebo,-16,22.42,114,116,1,2010,-16,22.42,114
894,Study 233,Lurasidone,-24.32,20.1,246,246,1,2010,-24.32,20.1,246
894,Study 233,Placebo,-10.3,19.7,120,122,1,2010,-10.3,19.7,120
894,Study 233,Quetiapine,-27.8,19.4,116,120,1,2010,-27.8,19.4,116
895,Study 3000,Haloperidol,-12.5,21.3,114,124,1,2010,-12.5,21.3,114
895,Study 3000,Iloperidone,-8.6,19.6,115,124,1,2010,-8.6,19.6,115
895,Study 3000,Placebo,-4.1,24.1,117,127,1,2010,-4.1,24.1,117
412,Study 3001,Haloperidol,-12.4,20.48923902,146,146,1,2010,-12.4,20.48923902,146
412,Study 3001,Iloperidone,-11.9,20.48923902,454,454,1,2010,-11.9,20.48923902,454
897,Study 3002,Haloperidol,-23.4,20.48923902,137,137,1,2010,-23.4,20.48923902,137
897,Study 3002,Iloperidone,-21.6,20.48923902,420,420,1,2010,-21.6,20.48923902,420
898,Study 3003,Haloperidol,-14.9,20.48923902,122,122,1,2010,-14.9,20.48923902,122
898,Study 3003,Iloperidone,-14.1,20.48923902,365,365,1,2010,-14.1,20.48923902,365
899,Study 3004,Iloperidone,-11.1,21.1,149,154,1,2010,-11.1,21.1,149
899,Study 3004,Placebo,-3.5,21.1,152,156,1,2010,-3.5,21.1,152
899,Study 3004,Risperidone,-16.6,34,146,153,1,2010,-16.6,34,146
900,Study 3005,Iloperidone,-12.1,19.7,371,389,1,2010,-12.1,19.7,371
900,Study 3005,Placebo,-7.6,19.7,152,160,1,2010,-7.6,19.7,152
900,Study 3005,Risperidone,-18.8,28.6,148,157,1,2010,-18.8,28.6,148
901,Study 93202 2002,Aripiprazole,-11.1,15.07,33,34,1,2010,-11.1,15.07,33
901,Study 93202 2002,Haloperidol,-15.8,16.24,33,34,1,2010,-15.8,16.24,33
901,Study 93202 2002,Placebo,-1.1,15.84,35,35,1,2010,-1.1,15.84,35
418,Study 94202 2002,Aripiprazole,-15.9,27.04,54,61,1,2010,-15.9,27.04,54
418,Study 94202 2002,Haloperidol,-10.4,22.8,54,63,1,2010,-10.4,22.8,54
418,Study 94202 2002,Placebo,-1.4,25.73,57,64,1,2010,-1.4,25.73,57
965,Study RGH-MD-03,Cariprazine,-14.53,18.11439207,122,128,1,2010,-14.53,18.11439207,122
965,Study RGH-MD-03,Placebo,-9.74,18.07220518,126,130,1,2010,-9.74,18.07220518,126
968,Study RGH-MD-05,Cariprazine,-22.8,19.39,147,151,1,2010,-22.8,19.39,147
968,Study RGH-MD-05,Placebo,-16,19.26,145,147,1,2010,-16,19.26,145
904,Study RIS-USA-72 1996,Placebo,-12.61,24,79,83,1,2010,-12.61,24,79
904,Study RIS-USA-72 1996,Risperidone,-20.33,19.1,157,163,1,2010,-20.33,19.1,157
1382,Svestka 1990,Haloperidol,20.7,11.34306207,18,18,1,2010,20.7,11.34306207,18
1382,Svestka 1990,Risperidone,24.7,11.34306207,18,18,1,2010,24.7,11.34306207,18
421,Svestka 2003a,Olanzapine,-45.65,11.96,20,20,1,2010,-45.65,11.96,20
421,Svestka 2003a,Quetiapine,-43.91,20.94,22,22,1,2010,-43.91,20.94,22
423,Svestka 2005,Olanzapine,51.92,18.33,24,24,1,2010,51.92,18.33,24
423,Svestka 2005,Ziprasidone,60.29,18.33,24,24,1,2010,60.29,18.33,24
429,Tetreault 1969a,Chlorpromazine,42.5,7.7,15,15,1,2010,42.5,7.7,15
429,Tetreault 1969a,Placebo,48.2,8.5,15,15,1,2010,48.2,8.5,15
915,Tollefson 1997,Haloperidol,-13.4,20.6,636,660,1,2010,-13.4,20.6,636
915,Tollefson 1997,Olanzapine,-17.7,21.8,1312,1336,1,2010,-17.7,21.8,1312
433,Tran 1997,Olanzapine,-28.1,28,166,172,1,2010,-28.1,28,166
433,Tran 1997,Risperidone,-24.9,23.2,165,167,1,2010,-24.9,23.2,165
434,Tran 1999,Haloperidol,-9.75,22.6,28,28,1,2010,-9.75,22.6,28
434,Tran 1999,Olanzapine,-17.38,16.16,24,26,1,2010,-17.38,16.16,24
1069,Tuason 1984,Chlorpromazine,31.24,12.37620002,34,34,1,2010,31.24,12.37620002,34
1069,Tuason 1984,Loxapine,33.47,12.37620002,34,34,1,2010,33.47,12.37620002,34
922,van der Velde 1975,Loxapine,34,12.37620002,24,26,1,2010,34,12.37620002,24
922,van der Velde 1975,Placebo,43,12.37620002,25,28,1,2010,43,12.37620002,25
922,van der Velde 1975,Tiotixene,41.5,12.37620002,27,28,1,2010,41.5,12.37620002,27
923,van Kammen 1996,Placebo,-5,21.03,47,48,1,2010,-5,21.03,47
923,van Kammen 1996,Sertindole,-10.62,21.17,101,105,1,2010,-10.62,21.17,101
930,Voruganti 2007,Olanzapine,48.5,9.9,42,42,1,2010,48.5,9.9,42
930,Voruganti 2007,Quetiapine,49.4,12,43,43,1,2010,49.4,12,43
1375,Vyas 1980,Chlorpromazine,7.2,11.34306207,15,15,1,2010,7.2,11.34306207,15
1375,Vyas 1980,Loxapine,10.43,11.34306207,15,15,1,2010,10.43,11.34306207,15
447,Wagner 2005,Amisulpride,-45.28,23.53,18,26,1,2010,-45.28,23.53,18
447,Wagner 2005,Olanzapine,-33.33,22.15,18,26,1,2010,-33.33,22.15,18
456,Wetzel 1991,Perazine,34.02,12.96,18,21,1,2010,34.02,12.96,18
456,Wetzel 1991,Zotepine,26.1,6.66,16,20,1,2010,26.1,6.66,16
936,Wetzel 1998,Amisulpride,-23.2,13.3,66,70,1,2010,-23.2,13.3,66
936,Wetzel 1998,Flupentixol,-16.2,15.5,61,62,1,2010,-16.2,15.5,61
941,Yen 2004,Haloperidol,-24.8,18.5,20,20,1,2010,-24.8,18.5,20
941,Yen 2004,Risperidone,-29.8,15.7,21,21,1,2010,-29.8,15.7,21
942,Zborowski 1995,Haloperidol,-13.3,22.23,113,115,1,2010,-13.3,22.23,113
942,Zborowski 1995,Placebo,-1.2,20.48923902,106,116,1,2010,-1.2,20.48923902,106
942,Zborowski 1995,Sertindole,-7.5,20.48923902,111,117,1,2010,-7.5,20.48923902,111
3381,Zhang 2011,Risperidone,-37.1,14.75,111,121,1,2010,-37.1,14.75,111
3381,Zhang 2011,Ziprasidone,-35.6,14.89,96,118,1,2010,-35.6,14.89,96
944,Zhong 2006,Quetiapine,-15.1,25.36,328,338,1,2010,-15.1,25.36,328
944,Zhong 2006,Risperidone,-18.1,25,318,335,1,2010,-18.1,25,318
945,Ziegler 1989,Amisulpride,-19.3,16.09044805,20,20,1,2010,-19.3,16.09044805,20
945,Ziegler 1989,Haloperidol,-15.9,16.09044805,19,20,1,2010,-15.9,16.09044805,19
946,Zimbroff 1997,Haloperidol,-9.57,13.8,131,137,1,2010,-9.57,13.8,131
946,Zimbroff 1997,Placebo,-0.9,14.5,71,73,1,2010,-0.9,14.5,71
946,Zimbroff 1997,Sertindole,-8.4,15.14,137,144,1,2010,-8.4,15.14,137
486,Zimbroff 2007,Aripiprazole,-24.6,19.1,126,129,1,2010,-24.6,19.1,126
486,Zimbroff 2007,Ziprasidone,-21.6,18.7,121,127,1,2010,-21.6,18.7,121
